##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	R1506023214_S8_L004_.non-rRNA.1.fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	25225662
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.858363598148586	32.0	32.0	32.0	27.0	32.0
2	31.524031044259612	32.0	32.0	32.0	32.0	32.0
3	35.48973842589344	37.0	37.0	37.0	32.0	37.0
4	36.08416361877837	37.0	37.0	37.0	32.0	37.0
5	36.335346957396006	37.0	37.0	37.0	37.0	37.0
6	40.290910303959514	42.0	42.0	42.0	37.0	42.0
7	40.37362900525663	42.0	42.0	42.0	37.0	42.0
8	40.514204265481716	42.0	42.0	42.0	37.0	42.0
9	40.55629009855123	42.0	42.0	42.0	37.0	42.0
10-11	40.647513393305594	42.0	42.0	42.0	37.0	42.0
12-13	40.72678263111589	42.0	42.0	42.0	37.0	42.0
14-15	40.653751921356914	42.0	42.0	42.0	37.0	42.0
16-17	40.62402542696402	42.0	42.0	42.0	37.0	42.0
18-19	40.60156147735587	42.0	42.0	42.0	37.0	42.0
20-21	40.559690187714395	42.0	42.0	42.0	37.0	42.0
22-23	40.54469640876025	42.0	42.0	42.0	37.0	42.0
24-25	40.52512518799308	42.0	42.0	42.0	37.0	42.0
26-27	40.41322178185057	42.0	42.0	42.0	37.0	42.0
28-29	40.3492714878999	42.0	42.0	42.0	37.0	42.0
30-31	40.34752949199113	42.0	42.0	42.0	37.0	42.0
32-33	40.315580935001826	42.0	42.0	42.0	37.0	42.0
34-35	40.24102164296025	42.0	42.0	42.0	37.0	42.0
36-37	40.286038041041024	42.0	42.0	42.0	37.0	42.0
38-39	40.28620196285739	42.0	42.0	42.0	37.0	42.0
40-41	40.293367983549025	42.0	42.0	42.0	37.0	42.0
42-43	40.270315973388534	42.0	42.0	42.0	37.0	42.0
44-45	40.25944341665593	42.0	42.0	42.0	37.0	42.0
46-47	40.221566392703224	42.0	42.0	42.0	37.0	42.0
48-49	40.201575221670524	42.0	42.0	42.0	37.0	42.0
50-51	40.20350780204646	42.0	42.0	42.0	37.0	42.0
52-53	40.1774003585634	42.0	42.0	42.0	37.0	42.0
54-55	40.14160978598488	42.0	42.0	42.0	37.0	42.0
56-57	40.12223407489401	42.0	42.0	42.0	37.0	42.0
58-59	40.083568009508696	42.0	42.0	42.0	37.0	42.0
60-61	40.050260444386666	42.0	42.0	42.0	37.0	42.0
62-63	39.97944259570148	42.0	42.0	42.0	37.0	42.0
64-65	39.9602033836625	42.0	42.0	42.0	37.0	42.0
66-67	39.932041238263025	42.0	42.0	42.0	37.0	42.0
68-69	39.87668503007711	42.0	42.0	42.0	37.0	42.0
70-71	39.85294854511813	42.0	42.0	42.0	37.0	42.0
72-73	39.81621948004203	42.0	42.0	42.0	37.0	42.0
74-75	39.811784099564576	42.0	42.0	42.0	37.0	42.0
76	39.77480610906353	42.0	42.0	42.0	37.0	42.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.07765779837590969
1101	2	-0.04353051108861905
1101	3	-0.07260662509163751
1101	4	0.022080430646916227
1101	5	0.06431913734196826
1101	6	0.14944911736616007
1101	7	-0.022368714765335085
1101	8	0.047709632331461194
1101	9	0.03452449876188268
1101	10-11	0.007083337149595081
1101	12-13	0.0307708695005644
1101	14-15	0.008542492918500955
1101	16-17	-0.037927273865570044
1101	18-19	-0.031193427751055935
1101	20-21	-0.01184605214081813
1101	22-23	-0.1047925743524516
1101	24-25	-0.04142828143437072
1101	26-27	-0.05605251553911472
1101	28-29	-0.014618468814830976
1101	30-31	-0.13091017342677702
1101	32-33	-0.07257375207202443
1101	34-35	0.04128089956338954
1101	36-37	-0.039324153515487126
1101	38-39	-0.047687117006752544
1101	40-41	0.05155900525093671
1101	42-43	0.028381067422081685
1101	44-45	-0.05696796814760319
1101	46-47	-0.048520502351799166
1101	48-49	-0.03157198978930609
1101	50-51	-0.03132851306545348
1101	52-53	-0.13857353780508674
1101	54-55	-0.13603732691261428
1101	56-57	-0.16069200573249987
1101	58-59	-0.05036293940703018
1101	60-61	-0.11232336068816551
1101	62-63	-0.19838900736679932
1101	64-65	-0.11540349501258618
1101	66-67	-0.18125497438272475
1101	68-69	-0.13278574123575737
1101	70-71	-0.05454607488856311
1101	72-73	-0.11202926878015518
1101	74-75	-0.1469181810287168
1101	76	-0.13621083302784598
1102	1	-0.08732475434538856
1102	2	-0.029354862491633327
1102	3	-0.03456913792108196
1102	4	-0.07076287886937394
1102	5	-0.05379386355799198
1102	6	-0.19530190829111405
1102	7	-0.17392912160784846
1102	8	-0.0580524344898663
1102	9	-0.1192584908731078
1102	10-11	-0.12411402005917438
1102	12-13	-0.11960404298410765
1102	14-15	-0.09164033150516815
1102	16-17	-0.17579699569237306
1102	18-19	-0.08381901012106141
1102	20-21	-0.07535254541068781
1102	22-23	-0.11124905232581028
1102	24-25	-0.18203915886366673
1102	26-27	-0.131301567338447
1102	28-29	-0.050651460488779776
1102	30-31	-0.03853001028296177
1102	32-33	-0.1296576388612536
1102	34-35	-0.12193740778182871
1102	36-37	-0.0570829833220472
1102	38-39	-0.09860912165868996
1102	40-41	-0.12782548742958966
1102	42-43	-0.1860843084931716
1102	44-45	-0.15396974831396903
1102	46-47	-0.07056777801257397
1102	48-49	-0.05434124304395027
1102	50-51	-0.16157288494149924
1102	52-53	-0.17898173876373136
1102	54-55	-0.1386816344798376
1102	56-57	-0.1261699850473974
1102	58-59	-0.10987584104670134
1102	60-61	-0.13902819696932767
1102	62-63	-0.13887741897309525
1102	64-65	-0.16171425294268005
1102	66-67	-0.17089028379601245
1102	68-69	-0.17943879088844028
1102	70-71	-0.15825711143249066
1102	72-73	-0.0906224691709312
1102	74-75	-0.11764735489895628
1102	76	-0.09308813820586437
1103	1	-0.10708589714006322
1103	2	-0.0241902054735057
1103	3	-0.05538525664474747
1103	4	-0.015191879740378056
1103	5	0.0501497009322307
1103	6	0.09316191841046617
1103	7	0.09773470408451601
1103	8	0.03033263038015832
1103	9	-1.7447220451316525E-4
1103	10-11	0.00913001610638986
1103	12-13	-0.03068868413259196
