##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	R1506023208_S1_L004_.non-rRNA.1.fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	27190141
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.83974033087949	32.0	32.0	32.0	27.0	32.0
2	31.518046081482254	32.0	32.0	32.0	32.0	32.0
3	35.48660269911804	37.0	37.0	37.0	32.0	37.0
4	36.075080302084494	37.0	37.0	37.0	32.0	37.0
5	36.31280367394932	37.0	37.0	37.0	37.0	37.0
6	40.23426156561674	42.0	42.0	42.0	37.0	42.0
7	40.310199310845796	42.0	42.0	42.0	37.0	42.0
8	40.46478508515274	42.0	42.0	42.0	37.0	42.0
9	40.50167191115339	42.0	42.0	42.0	37.0	42.0
10-11	40.56566876574858	42.0	42.0	42.0	37.0	42.0
12-13	40.667259651209605	42.0	42.0	42.0	37.0	42.0
14-15	40.565809717573735	42.0	42.0	42.0	37.0	42.0
16-17	40.53144711533493	42.0	42.0	42.0	37.0	42.0
18-19	40.501375498567654	42.0	42.0	42.0	37.0	42.0
20-21	40.4435685530281	42.0	42.0	42.0	37.0	42.0
22-23	40.399110526863396	42.0	42.0	42.0	37.0	42.0
24-25	40.37995435551437	42.0	42.0	42.0	37.0	42.0
26-27	40.23939480490373	42.0	42.0	42.0	37.0	42.0
28-29	40.12673257192745	42.0	42.0	42.0	37.0	42.0
30-31	40.129563873905624	42.0	42.0	42.0	37.0	42.0
32-33	40.07580962893867	42.0	42.0	42.0	37.0	42.0
34-35	39.9923911391265	42.0	42.0	42.0	37.0	42.0
36-37	39.99282974143661	42.0	42.0	42.0	37.0	42.0
38-39	39.978652216614655	42.0	42.0	42.0	37.0	42.0
40-41	39.95361669983602	42.0	42.0	42.0	37.0	42.0
42-43	39.95027252850328	42.0	42.0	42.0	37.0	42.0
44-45	39.93309390129776	42.0	42.0	42.0	37.0	42.0
46-47	39.881663586036424	42.0	42.0	42.0	37.0	42.0
48-49	39.857264309678065	42.0	42.0	42.0	37.0	42.0
50-51	39.866198610830324	42.0	42.0	42.0	37.0	42.0
52-53	39.81843373141418	42.0	42.0	42.0	37.0	42.0
54-55	39.77927573730449	42.0	42.0	42.0	37.0	42.0
56-57	39.742189548640596	42.0	42.0	42.0	32.0	42.0
58-59	39.667446147597076	42.0	42.0	42.0	32.0	42.0
60-61	39.61051114261175	42.0	42.0	42.0	32.0	42.0
62-63	39.47331799588477	42.0	42.0	42.0	32.0	42.0
64-65	39.383799753919114	42.0	42.0	42.0	32.0	42.0
66-67	39.29007659281564	42.0	39.5	42.0	32.0	42.0
68-69	39.15233992067914	42.0	37.0	42.0	32.0	42.0
70-71	39.029406878973205	42.0	37.0	42.0	32.0	42.0
72-73	38.90789854145922	42.0	37.0	42.0	32.0	42.0
74-75	38.74945355111741	42.0	37.0	42.0	32.0	42.0
76	38.27608193660377	42.0	37.0	42.0	32.0	42.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.05198651703049961
1101	2	-0.04227372147596142
1101	3	-2.6781632861627713E-5
1101	4	0.08362549412574793
1101	5	0.08401612489428345
1101	6	0.1403428764553425
1101	7	0.09800455985501344
1101	8	0.05746752065909533
1101	9	0.0931475105831936
1101	10-11	0.07102885890225252
1101	12-13	0.004627224065565372
1101	14-15	-0.007798592177877595
1101	16-17	-0.08108967599402916
1101	18-19	-0.06555891790186053
1101	20-21	-0.11412386739037572
1101	22-23	-0.18792855152868526
1101	24-25	-0.1068317390900404
1101	26-27	-0.146677302308575
1101	28-29	-0.2394229057363404
1101	30-31	-0.2823755099688583
1101	32-33	-0.21966499454916288
1101	34-35	-0.2133933450615828
1101	36-37	-0.37499386803225576
1101	38-39	-0.4382406981028737
1101	40-41	-0.3270606974129251
1101	42-43	-0.3072379043699556
1101	44-45	-0.3181759476484558
1101	46-47	-0.2234440074715991
1101	48-49	-0.20289397089932493
1101	50-51	-0.1942300527121219
1101	52-53	-0.3473161264183773
1101	54-55	-0.4716230010110891
1101	56-57	-0.6135441381206803
1101	58-59	-0.6771595890184727
1101	60-61	-1.021656081731848
1101	62-63	-1.4151973525459098
1101	64-65	-1.641637466861404
1101	66-67	-1.9985836930094152
1101	68-69	-2.2614671429661115
1101	70-71	-2.480415628108176
1101	72-73	-2.695649678833078
1101	74-75	-2.977009311773074
1101	76	-3.9889844067914098
1102	1	-0.11186629213437982
1102	2	0.05289191356458289
1102	3	0.042841666297682934
1102	4	-0.06499510087375171
1102	5	-0.11250173068057734
1102	6	-0.20919665991345937
1102	7	-0.20343922881404808
1102	8	-0.09381938597994122
1102	9	-0.10812650254985812
1102	10-11	-0.1592851513860012
1102	12-13	-0.08515518019162016
1102	14-15	-0.11705544589800354
1102	16-17	-0.21494387333056864
1102	18-19	-0.13421427209090098
1102	20-21	-0.10870217314197816
1102	22-23	-0.1933249023846102
1102	24-25	-0.2803447234199794
1102	26-27	-0.29297795065122045
1102	28-29	-0.26045189969079985
1102	30-31	-0.2752226761445229
1102	32-33	-0.39528600473985165
1102	34-35	-0.438191190236509
1102	36-37	-0.49964129634902577
1102	38-39	-0.553823419886001
1102	40-41	-0.64911155770519
1102	42-43	-0.7038828264194237
1102	44-45	-0.5864411224017374
1102	46-47	-0.4383404172153149
1102	48-49	-0.4333069169449075
1102	50-51	-0.49977436731773395
1102	52-53	-0.46930871754179293
1102	54-55	-0.4507431213328985
1102	56-57	-0.47587571087299807
1102	58-59	-0.555845923990276
1102	60-61	-0.734772330666047
1102	62-63	-0.973593157566718
1102	64-65	-1.2097300779085884
1102	66-67	-1.5274786844566606
1102	68-69	-1.700518058041986
1102	70-71	-1.793624092982263
1102	72-73	-1.9438592432600004
1102	74-75	-2.3289861322097067
1102	76	-3.009244082485104
1103	1	-0.07984390549963294
1103	2	-0.024450563842854933
1103	3	-0.07453335849452714
1103	4	0.02499570334044421
1103	5	0.09135918250458275
1103	6	0.10850362042473449
1103	7	0.15389267011236996
1103	8	0.11192317574831634
1103	9	-0.007696553702537301
1103	10-11	0.03487406341494648
1103	12-13	-0.0018474433270796453
1103	14-15	0.05696288187314735
