GeneName,GeneID,pH7.4(control),pH4.8,5%NaCl,5mM H2O2
lmo0783,985458,212,20,937,358
lmo0784,985456,68,20,1313,745
lmo0785,985452,253,48,1399,689
lmo0786,985450,299,36,8950,3067
lmo0787,985449,69,32,2926,3627
lmo0788,985448,814,88,2092,11834
lmo0789,985444,5,2,560,827
lmo0790,985443,3,1,369,441
lmo0791,985441,92,19,2311,1145
lmo0792,985439,11,0,381,381
lmo0793,985432,66,31,401,238
lmo0794,985430,156,140,6369,3185
lmo0795,985429,107,28,520,455
lmo0796,985428,386,8,4075,7567
lmo0797,985426,42,0,779,467
lmo0798,985421,166,27,1338,269
lmo0799,985420,12,4,620,469
lmo0800,985418,53,19,3287,1634
lmo0801,985415,0,4,276,119
lmo0802,985413,13,1,181,287
lmo0803,985412,83,51,924,1152
lmo0804,985406,0,0,11,6
lmo0805,985405,0,0,0,0
lmo0806,985404,11,0,78,9
lmo0807,985403,32,3,83,9
lmo0808,985401,14,18,43,10
lmo0809,985399,38,26,152,33
lmo0810,985395,26,16,71,16
lmo0811,985394,154,17,2185,835
lmo0812,985393,12,0,123,255
lmo0813,985392,287,6,1236,353
lmo0814,985391,277,6,246,141
lmo0815,985389,0,0,72,73
lmo0816,985388,0,0,182,134
lmo0817,985387,13,0,222,223
lmo0818,985383,61,12,648,404
lmo0819,985382,16,2,519,400
lmo0820,985380,3,7,133,120
lmo0821,985377,29,23,582,535
lmo0822,985376,20,2,763,469
lmo0823,985374,181,30,4805,2400
lmo0824,985373,5,1,44,39
lmo0825,985372,38,2,141,136
lmo0826,985369,343,24,797,484
lmo0827,985368,0,0,7,15
lmo0828,985365,33,37,303,521
nifJ,985364,348,93,1263,789
fbp,985361,53,11,7230,1788
lmo0831,985359,209,29,372,484
lmo0832,985355,0,0,57,20
lmo0833,985354,9,8,299,61
lmo0834,985353,45,0,15,23
lmo0835,985352,40,2,38,16
lmo0836,985351,67,45,3679,4199
lmo0837,985348,28,2,409,222
uhpT,985347,4,3,111,63
lmo0839,985342,9,6,96,76
lmo0840,985341,25,3,170,137
lmo0841,985338,253,36,2279,1562
lmo0842,985337,34,7,638,525
lmo0843,985333,38,8,846,778
lmo0844,985332,11,0,223,189
lmo0845,985330,131,5,380,270
lmo0846,985329,18,3,1002,532
lmo0847,985328,163,28,1475,233
lmo0848,985325,628,13,6543,594
lmo0849,985321,3,0,67,16
lmo0850,985319,5,0,315,68
lmo0851,985315,46,22,1587,3174
lmo0852,985313,14,1,186,261
lmo0853,985304,2,3,164,158
lmo0854,985242,74,4,40,54
ddl,985238,298,26,3800,1214
murF,985224,110,2,1052,272
lmo0857,985170,101,32,922,537
lmo0858,985100,74,70,651,518
lmo0859,985026,10,0,16,22
lmo0860,984935,5,0,7,5
lmo0861,984876,1,0,1,4
lmo0862,984847,3,0,16,22
lmo0863,984720,3,0,12,10
lmo0864,984716,1,0,1,5
lmo0865,984615,4,0,10,18
lmo0866,984613,2319,188,2202,1026
lmo0867,984585,2312,123,5008,1918
lmo0868,984573,18,3,339,997
lmo0869,984542,9,14,291,191
lmo0870,984493,31,1,157,169
lmo0871,984472,26,4,381,1610
lmo0872,984428,15,1,102,123
lmo0873,984373,11,0,53,36
lmo0874,986569,0,0,0,2
lmo0875,986563,0,0,6,2
lmo0876,986296,2,0,11,8
lmo0877,986454,0,0,3,5
lmo0878,986549,1,0,4,31
lmo0879,986553,5,0,14,7
lmo0880,986636,24,3,2307,294
lmo0881,986550,15,0,100,38
lmo0882,986548,28,3,235,207
lmo0883,986544,155,17,1274,635
lmo0884,986422,32,4,143,320
acpS,986540,2,0,31,36
dal,986294,16,0,114,120
lmo0887,986567,134,0,3284,2273
lmo0888,986538,69,24,383,362
RsbR,986201,86,7,374,572
rsbS,985149,38,7,221,249
rsbT,986533,17,0,500,375
rsbU,986534,665,131,1151,1224
rsbV,986526,74,2,1053,1210
rsbW,986524,77,55,883,728
sigB,986527,140,32,3928,2718
rsbX,986520,364,186,5552,4382
lmo0897,984941,44,28,138,210
lmo0898,986364,216,39,678,1354
lmo0899,987820,54,8,166,321
lmot12,3167617,0,0,87,146
lmot13,3167609,0,0,93,168
lmo0900,987809,14,0,626,532
lmo0901,986930,2,4,28,33
lmo0902,986980,89,0,1490,1055
lmot14,3167610,0,0,20,33
lmot15,3167619,0,0,335,672
lmo0903,986912,35,71,7226,5263
lmo0904,986917,25,3,489,462
lmo0905,986916,6,0,62,44
lmo0906,986897,26,2,338,216
lmo0907,986931,161,42,621,578
lmo0908,986924,228,43,2266,2354
lmo0909,986502,10,3,174,137
lmo0910,984497,45,19,864,590
lmo0911,986500,357,27,5051,2562
lmo0912,986984,1113,132,7575,6158
lmo0913,986938,5,2,801,1148
lmo0914,987760,0,0,278,3
lmo0915,987872,58,0,1766,58
lmo0916,987774,5,0,133,6
lmo0917,987667,14,0,402,28
lmo0918,987658,4,3,144,74
lmo0919,986830,13,14,272,274
lmo0920,986844,67,39,160,380
lmo0921,986853,91,22,276,412
lmo0922,986345,116,8,3480,3282
lmo0923,986349,4,0,44,574
lmo0924,985961,2,0,33,163
lmo0925,986858,22,30,847,3313
lmo0926,984510,206,4,616,3112
lmo0927,986782,1066,291,15497,13178
lmo0928,985312,51,9,845,153
lmo0929,986837,661,16,4254,2531
lmo0930,986560,73,6,296,330
lmo0931,986568,114,19,6038,3575
lmo0932,987846,56,43,4046,2127
lmo0933,984547,72,20,5961,2673
lmot16,3167608,0,0,372,568
lmo0934,986642,281,97,473,473
lmo0935,986554,46,17,2590,625
lmo0936,986658,98,11,3917,1469
lmo0937,987860,557,782,24704,14354
lmo0938,987839,28,7,2033,977
lmo0939,985869,4,0,425,334
lmo0940,987854,71,35,610,398
lmo0941,986402,73,113,383,265
lmo0942,986476,154,45,1136,867
fri,986847,2902,236,352513,258336
lmo0944,986825,114,11,4573,2522
lmo0945,986792,41,12,629,295
lmo0946,987862,9,1,648,412
lmo0947,986474,6,2,255,185
lmo0948,986781,10,2,112,86
lmo0949,987856,114,59,6005,5140
lmo0950,987861,125,10,2667,2554
lmo0951,987836,30,30,301,534
lmo0952,986763,867,267,2151,2015
lmo0953,986396,1251,28,5953,4971
lmo0954,986596,259,25,779,505
lmo0955,987852,35,2,255,147
lmo0956,986776,76,25,833,784
lmo0957,986480,28,1,1123,1082
lmo0958,986478,196,7,1243,1143
lmo0959,986475,4729,2460,6939,4851
lmo0960,986469,148,6,310,365
lmo0961,986465,163,15,671,652
lemA,986467,684,74,2000,1660
lmo0963,986470,655,143,1853,1966
lmo0964,986468,290,138,28702,18906
lmo0965,985451,8,4,232,220
lmo0966,986839,1,3,132,161
lmo0967,986471,22,4,200,377
ppnK,986453,122,20,640,708
lmo0969,986458,50,7,327,388
lmo0970,987821,196,7,14678,4744
dltD,986447,734,413,25635,771
dltC,986460,44,67,2969,116
dltB,986448,1827,1330,11634,539
dltA,986449,1416,538,10926,768
lmo0975,986443,17,2,516,598
lmo0976,986442,91,7,1021,362
lmo0977,986913,36,25,2303,1020
lmo0978,986440,703,48,41452,24020
lmo0979,986435,5,6,161,129
lmo0980,986436,24,15,77,54
lmo0981,986765,520,60,3978,969
lmo0982,986804,116,30,3300,2113
lmo0983,986438,27,17,2005,990
lmo0984,986785,15,4,489,152
lmo0985,986431,9,4,216,97
lmo0986,986427,24,47,107,60
lmo0987,986424,0,3,52,25
prfC,986429,201,33,1375,407
lmo0989,986432,34,4,249,91
lmo0990,986420,55,3,547,172
lmo0991,986787,83,36,958,137
lmo0992,986459,60,19,316,527
lmo0993,986421,113,46,2547,2275
lmo0994,986414,950,361,11964,4152
lmo0995,986413,86,44,7661,9992
lmo0996,986513,48,1,181,241
clpE,986780,77,175,3345,2616
lmo0998,986409,733,431,3935,4604
lmo0999,986406,121,91,4019,1834
lmo1000,986831,25,24,473,730
lmo1001,986350,48,1,1236,1538
ptsH,986517,312,55,4170,3710
lmo1003,986170,8339,692,18975,10417
lmo1004,986479,128,31,798,795
lmo1005,986400,147,15,1376,771
lmo1006,986673,409,64,1525,1701
lmo1007,986404,47,0,361,37
lmo1008,986444,386,74,3694,2434
lmo1009,986412,49,14,528,467
lmo1010,986367,61,8,681,553
lmo1011,986298,567,51,7363,5931
lmo1012,986510,361,41,3426,3487
lmo1013,986362,1204,140,17826,8639
gbuA,986360,8,0,138,633
gbuB,985002,87,45,320,875
gbuC,986358,212,25,1447,2846
lmo1017,986356,127,8,2449,2586
lmo1018,986357,15,0,95,55
lmo1019,986368,113,6,222,162
lmo1020,986352,174,13,697,281
lmo1021,985411,93,20,805,631
lmo1022,986610,59,0,252,127
lmo1023,985239,302,19,584,275
lmo1024,986351,81,14,824,494
lmo1025,986700,103,45,1580,941
lmo1026,986902,330,69,5307,2385
lmo1027,986344,1562,306,23698,6997
lmo1028,986595,18,3,1646,714
lmo1029,986340,361,4,9237,3089
lmo1030,986852,23,4,559,401
lmo1031,986327,13,3,32,25
lmo1032,986336,3,0,13,18
lmo1033,986331,7,0,10,22
lmo1034,986330,14,0,21,43
lmo1035,985245,13,2,124,112
lmo1036,984797,15,5,344,286
lmo1037,985124,11,46,223,302
lmo1038,986325,1,4,70,41
lmo1039,986741,16,8,341,257
lmo1040,986321,38,14,456,467
lmo1041,986319,2,0,18,42
lmo1042,986318,23,0,212,193
lmo1043,986316,0,0,65,37
lmo1044,986188,0,0,36,26
lmo1045,985638,0,0,63,12
moaC,986305,0,0,74,25
moaA,984816,1,0,241,288
lmo1048,986817,20,5,963,627
lmo1049,986477,122,22,1262,1043
lmo1050,986511,37,9,1300,2518
def,986625,854,100,3854,2005
pdhA,986808,435,187,3210,1508
PdhB,984409,279,66,4385,1411
pdhC,986301,222,130,5692,1650
PdhD,986542,359,92,12752,4779
lmo1056,986297,105,20,788,449
lmo1057,986824,19,28,1486,1148
lmo1058,986292,6,3,628,299
lmo1059,984717,339,36,9885,3731
lmo1060,984788,2,1,96,67
lmo1061,986289,13,2,306,171
lmo1062,986633,0,2,29,21
lmo1063,986288,0,0,19,22
lmo1064,986286,380,45,1562,761
lmo1065,984607,19,12,283,239
lmo1066,986059,95,5,696,832
lmo1067,986279,2126,129,4807,1010
lmo1068,985811,308,49,63436,2968
lmo1069,986276,105,76,1804,1587
lmo1070,986295,308,3,7958,2502
lmo1071,986183,444,111,10881,5418
pycA,986269,1268,281,7980,8016
lmo1073,986508,47,0,278,221
lmo1074,986267,369,84,2893,1648
lmo1075,986506,1109,140,4632,2103
lmo1076,986264,407,25,5269,3372
lmo1077,986263,502,136,9452,4072
lmo1078,984367,275,60,3099,2852
lmo1079,986262,453,89,5142,3743
lmo1080,986254,284,34,2299,2538
lmo1081,986258,280,34,1804,1654
lmo1082,986259,168,63,1667,900
lmo1083,986257,417,75,6089,1918
lmo1084,986256,387,32,6961,1876
lmo1085,986253,58,21,1210,754
ispD,986270,239,73,2942,2389
lmo1087,985892,1101,125,9178,4683
tagB,986255,28,6,868,648
tagD,986249,32,9,640,324
lmo1090,986248,87,3,1292,698
lmo1091,986251,66,5,1545,685
lmo1092,986245,181,32,1529,1452
nadE,986246,17,0,1598,862
lmo1094,986243,0,0,0,0
lmo1095,986241,1,0,58,35
guaA,986238,975,44,6635,2731
lmo1097,986237,0,0,0,0
lmo1098,986233,0,0,0,0
lmo1099,986219,0,0,0,0
cadA,986725,0,0,0,0
lmo1101,986228,0,0,0,0
lmo1102,987644,0,0,0,0
lmo1103,986226,0,0,0,0
lmo1104,986227,0,0,0,0
lmo1105,986240,0,0,0,0
lmo1106,986235,0,0,0,0
lmo1107,986244,0,0,0,0
lmo1108,986222,0,0,0,0
lmo1109,986220,0,0,0,0
lmo1110,986532,0,0,0,0
lmo1111,986218,0,0,0,0
lmo1112,986216,0,0,0,0
lmo1113,986214,0,0,0,0
lmo1114,986213,0,0,0,0
lmo1115,986211,0,0,0,0
lmo1116,986570,0,0,644,164
lmo1117,986210,52,0,756,354
lmo1118,986207,0,0,0,0
lmo1119,985160,0,0,0,0
lmo1120,986206,0,0,38,98
lmo1121,986205,0,0,35,72
lmo1122,986203,0,0,145,242
lmo1123,986204,0,0,97,151
lmo1124,986198,0,0,114,155
lmo1125,986200,2,0,179,185
lmo1126,986193,33,0,963,829
lmo1127,986196,14,0,333,360
lmo1128,985150,7,0,26,18
lmo1129,986195,0,0,18,17
lmo1130,985135,0,0,29,34
lmo1131,986529,13,0,83,47
lmo1132,986192,3,0,192,79
lmo1133,986234,1,0,12,6
lmo1134,986190,0,0,67,56
lmo1135,986189,0,0,381,368
lmo1136,986166,48,0,360,273
lmo1137,986423,1,0,198,542
lmo1138,987656,121,29,1708,3309
lmo1139,986182,3,0,185,160
lmo1140,986180,75,3,2889,1661
lmo1141,986179,12,0,195,104
lmo1142,986177,182,10,100,62
lmo1143,986169,145,3,121,68
lmo1144,986310,72,3,34,36
lmo1145,986160,67,2,22,23
lmo1146,986162,97,3,6,15
lmo1147,986161,27,0,4,5
lmo1148,986158,18,0,30,33
lmo1149,986156,29,0,4,10
lmo1150,986159,16,5,49,27
lmo1151,986164,0,0,0,0
lmo1152,986154,0,0,0,1
lmo1153,986155,0,0,6,4
lmo1154,986151,0,0,7,1
lmo1155,986153,0,0,0,1
lmo1156,986150,0,0,3,7
lmo1157,986152,0,0,2,0
lmo1158,986149,0,0,5,3
lmo1159,986147,0,0,0,0
lmo1160,986142,0,0,2,2
lmo1161,986144,0,0,3,5
lmo1162,986141,0,0,0,0
lmo1163,986140,0,0,0,1
lmo1164,986139,0,0,1,3
lmo1165,986133,0,0,8,6
lmo1166,986134,0,0,0,7
glpF,986131,2,0,15,27
AckA2,986132,17,0,286,282
cobD,986129,79,7,112,234
lmo1170,986128,17,0,163,131
pduQ,986125,729,16,272,215
lmo1172,986126,48,0,94,36
lmo1173,986122,423,23,266,152
eutA,986123,498,21,3,3
eutB,986127,1589,35,4,17
eutC,986120,1238,24,13,9
lmo1177,986121,601,7,2,4
lmo1178,986118,591,24,3,6
lmo1179,986119,1646,92,17,34
lmo1180,986115,799,0,2,0
lmo1181,986116,160,1,3,7
lmo1182,986114,725,24,2,4
lmo1183,986117,286,0,1,1
lmo1184,986113,183,14,0,0
lmo1185,986110,410,12,7,13
lmo1186,986111,1559,22,33,43
lmo1187,986106,1517,42,20,20
lmo1188,986112,140,24,2824,642
lmo1189,986109,8,11,2690,895
lmo1190,986103,363,0,298,186
cbiA,986099,26,0,3,1
cobD,986098,8,0,1,0
cbiC,986096,17,0,2,6
cbiD,986097,12,0,4,0
cbiE,986100,4,0,0,0
lmo1196,986101,13,0,2,2
cbiF,986091,18,0,5,1
cbiG,986089,17,0,1,1
cbiH,986093,35,0,0,1
lmo1200,986085,9,0,2,0
lmo1201,986081,19,0,4,4
cbiK,986086,30,0,0,0
cbiL,986075,16,0,5,10
lmo1204,984567,2,0,5,3
lmo1205,986083,0,0,3,2
cbiQ,986065,17,0,66,46
lmo1207,986074,3,0,34,16
cbiP,986064,3,0,265,205
lmo1209,986058,50,0,268,148
lmo1210,986061,75,12,307,134
lmo1211,986063,18,6,749,373
lmo1212,986143,0,0,5,14
lmo1213,986048,0,0,116,47
lmo1214,986223,4,0,1119,359
lmo1215,986221,21,10,526,540
lmo1216,986054,88,16,369,1285
lmo1217,986057,286,10,1259,880
lmo1218,986185,138,14,1685,1312
lmo1219,986049,86,33,4578,4683
lmo1220,986047,419,42,4441,2566
pheS,986046,50,15,431,301
pheT,986682,236,18,1398,833
lmo1223,986045,15,0,229,243
lmo1224,986043,268,43,931,684
lmo1225,986044,23,6,232,82
lmo1226,986040,413,126,2678,1025
lmo1227,986857,35,25,404,889
rnhC,987663,94,6,1222,1258
lmo1229,985608,17,0,344,508
lmo1230,986037,331,102,1308,1624
lmo1231,986038,44,4,361,289
lmo1232,986039,140,31,768,606
trxA,986032,200,34,82760,16573
uvrC,986033,96,20,1933,1075
lmo1235,986030,81,7,1153,585
lmo1236,986036,329,12,2969,3198
racE,986027,29,0,190,236
rph,986029,221,9,500,281
lmo1239,986028,12,4,123,69
lmo1240,986025,43,3,313,456
lmot17,3167612,0,0,29,47
lmo1241,986024,159,62,8159,1484
lmo1242,986021,138,33,1931,1703
lmo1243,986018,37,9,378,297
lmo1244,986020,37,5,1361,1321
lmo1245,986013,5,0,418,309
lmo1246,986011,91,12,1307,341
lmo1247,986014,33,1,851,290
lmo1248,986009,3,10,50,85
lmo1249,986015,982,999,539,702
lmo1250,986007,1754,222,3236,2390
lmo1251,986006,211,25,2509,760
lmo1252,986005,48,16,2613,2232
lmo1253,984383,92,71,3145,2492
lmo1254,986004,54,7,136,122
lmo1255,986002,41,8,405,215
lmo1256,985998,9,3,610,310
lmo1257,985997,833,124,17056,3190
lmo1258,985992,49,22,2245,1682
proA,985995,164,38,7202,3984
proB,985996,48,8,345,410
lmo1261,985993,697,284,5435,4507
lmo1262,985990,20,2,307,287
lmo1263,985085,0,0,2,2
lmo1264,985081,0,0,2,6
lmo1265,985747,0,0,15,17
lmo1266,985084,32,4,638,632
tig,985096,1777,100,20854,6976
clpX,985086,2131,398,33240,15711
lmo1269,985087,27,20,325,551
lmo1270,985113,254,22,1378,1146
lmo1271,985089,40,10,450,373
rbgA,985097,32,4,335,357
rnhB,985073,281,19,1075,596
lmo1274,987273,4,0,29,37
topA,985095,525,42,1076,1245
gid,985107,115,8,2439,1458
codV,985098,329,50,1556,2734
clpQ,985099,50,22,457,392
hslU,985103,96,10,1169,825
codY,985108,536,28,964,497
lmo1281,985105,4,3,160,153
lmo1282,985101,0,3,263,165
lmo1283,985110,198,13,10159,3533
lmo1284,986559,479,173,7699,3491
lmo1285,985138,753,15,2823,3126
parE,987287,186,30,702,319
parC,985091,769,76,6613,2136
lmo1288,987285,13,1,5075,2609
lmo1289,987289,0,0,0,0
lmo1290,985114,76,25,437,151
lmo1291,985119,860,480,12457,6933
lmo1292,985112,16,4,1134,1504
glpD,985350,229,40,6972,3888
miaA,985128,106,7,1887,400
lmo1295,985120,655,38,10134,2229
lmo1296,985125,15,2,148,136
lmo1297,985127,264,3,1630,899
glnR,985126,48,11,229,39
glnA,985115,1230,281,11223,1161
lmo1300,985130,48,29,2094,885
lmo1301,985134,280,32,3737,1834
lmo1302,985139,415,37,6657,3302
lmo1303,987680,93,8,7409,3167
lmo1304,987682,2,1,454,216
tkt,987681,1929,228,26495,7498
lmo1306,987683,762,15,9996,2310
lmo1307,987685,11,4,166,229
lmo1308,987687,43,11,159,295
lmo1309,987686,11,4,63,243
lmo1310,987688,18,1,88,165
lmo1311,987689,13,3,198,420
lmo1312,987691,0,0,61,86
pyrH,987690,167,20,977,840
frr,987693,248,11,4369,1373
lmo1315,987694,77,28,575,1056
cdsA,987695,101,64,876,1771
lmo1317,987697,104,24,983,2042
lmo1318,987698,178,32,876,1851
proS,987699,624,53,5239,3211
polC,987700,353,69,4473,2989
lmo1321,987701,47,3,281,194
nusA,987702,363,13,530,309
lmo1323,987703,14,0,86,50
lmo1324,987705,8,0,92,55
infB,987704,534,44,1562,974
lmo1326,987708,44,52,614,305
rbfA,987713,129,24,216,144
truB,987709,42,2,113,42
ribC,987710,88,3,1600,610
rpsO,987711,5006,223,5928,3572
pnpA,987712,874,79,15970,5402
lmo1332,987715,97,14,6531,3872
lmo1333,987717,206,22,5172,1647
lmo1334,987718,51,1,7508,1892
rpmG,987719,478,94,11214,6012
lmo1336,987720,36,4,1196,439
lmo1337,987722,235,51,2654,2822
lmo1338,987721,2,0,80,34
lmo1339,987723,640,10,4600,1966
lmo1340,987724,184,165,18948,3793
lmo1341,987725,0,0,30,14
lmo1342,987728,0,0,27,13
lmo1343,987726,0,0,6,5
lmo1344,987731,0,0,34,13
lmo1345,987732,0,0,13,3
comGB,987733,0,0,101,67
comGA,987735,0,0,31,36
gcvT,987736,94,4,681,341
lmo1349,987737,29,6,888,260
lmo1350,987740,46,23,1794,782
lmo1351,987739,1680,41,7779,4259
lmo1352,987741,8,7,1112,402
lmo1353,987743,71,17,1586,669
lmo1354,987742,106,7,2213,1192
efp,987744,1352,149,18189,7020
lmo1356,987128,118,21,1575,848
lmo1357,987387,362,130,3285,1084
lmo1358,987881,219,14,4818,1113
nusB,987880,213,74,1677,789
folD,987879,31,1,381,247
xseA,987878,84,21,925,681
lmo1362,987876,2,0,89,63
lmo1363,987873,28,0,564,310
cspL,987871,12683,147,49184,17634
tktB,987660,88,23,1456,1576
lmo1366,986969,441,8,3679,1811
lmo1367,987665,60,12,1558,681
recN,987672,105,19,1399,702
lmo1369,986887,69,9,235,354
lmo1370,987676,364,147,1211,1660
lmo1371,987674,144,20,949,532
lmo1372,987855,285,23,1063,409
lmo1373,987859,381,54,1082,531
lmo1374,987858,280,21,1195,670
lmo1375,987853,52,16,1654,277
lmo1376,987851,2582,78,18884,9836
lisR,987849,212,22,841,861
lisK,987844,258,35,3492,3200
lmo1379,987847,496,130,7505,7914
lmo1380,987834,59,44,1695,1683
lmo1381,987841,2,2,701,902
lmo1382,987840,21,6,451,730
lmo1383,987838,79,7,471,581
lmo1384,987831,279,18,2585,979
lmo1385,987832,387,222,6566,4992
lmo1386,987830,690,105,5355,2185
lmo1387,987829,25,12,2239,1204
tcsA,984815,2164,85,5322,1428
lmo1389,984826,471,25,892,289
lmo1390,984893,584,60,969,213
lmo1391,986482,1134,111,1935,319
lmo1392,986324,83,30,1274,1302
lmo1393,986760,78,28,771,572
lmo1394,984737,66,22,793,996
lmo1395,986796,414,273,1609,1490
lmo1396,985296,1230,84,2807,1796
cinA,987615,67,20,1320,649
recA,984485,1224,132,12887,9444
lmo1399,984906,2974,256,19170,11009
lmo1400,986455,27,0,678,822
lmo1401,986807,249,18,1403,1090
lmo1402,986490,32,2,584,455
mutS,985419,134,12,894,1042
mutL,986410,118,39,3197,2077
lmo1405,986841,147,8,1692,1226
pflB,986171,5182,624,22251,26263
pflC,986485,1016,93,3642,3358
lmo1408,986462,46,1,1003,638
lmo1409,986419,38,3,271,119
lmo1410,986496,5,9,467,480
lmo1411,987025,0,0,120,97
lmo1412,986461,0,3,197,271
lmo1413,986489,15,3,443,229
lmo1414,986819,478,23,5311,1674
lmo1415,986439,493,26,14048,4676
lmo1416,986348,68,178,3914,3185
lmo1417,986745,26,15,623,182
lmo1418,986995,31,1,396,166
lmo1419,986497,502,94,2408,849
murB,984666,153,9,4220,1751
lmo1421,984736,90,7,1284,2468
lmo1422,986774,136,38,5208,6257
lmo1423,986759,331,29,55033,19842
lmo1424,986818,1661,217,35114,34805
opuCD,984750,23,26,1081,2998
opuCC,986463,0,3,134,383
opuCB,985838,5,29,230,515
opuCA,987882,41,21,534,909
lmo1429,986347,280,179,72389,2174
lmo1430,985738,2,0,178,157
lmo1431,986756,549,74,7807,2520
lmo1432,986495,98,31,3102,5043
lmo1433,985502,39,10,848,377
lmo1434,984605,953,78,22919,8574
dapA,986494,173,25,1336,996
lmo1436,986483,273,11,1272,1111
lmo1437,986492,126,11,2210,2866
lmo1438,986843,721,358,7680,4774
sod,986791,2033,763,19104,20923
lmo1440,986499,880,175,8378,3371
ispG,986437,38,41,381,595
lmo1442,986764,23,10,1571,1454
lmo1443,986175,67,33,705,1081
lmo1444,986457,4,7,145,117
zurR,986176,103,75,1063,538
zurM,986990,53,15,1297,545
zurA,986711,90,14,551,379
lmo1448,986727,1549,44,9038,4479
lmo1449,984467,305,81,2713,1033
lmo1450,987133,321,47,1059,1066
ispH,987625,27,10,389,372
lmo1452,986883,258,57,7489,2074
lmo1453,984399,72,48,779,230
rpoD,984456,1086,121,9789,4182
dnaG,986564,166,72,2471,991
lmo1456,986822,82,3,1029,380
lmo1457,987875,214,16,2653,2225
glyS,987668,154,38,1257,723
glyQ,986742,26,4,137,122
recO,987669,214,19,8372,2131
lmo1461,987662,253,20,5120,2705
era,987664,189,49,3111,1957
lmo1463,987666,74,1,646,584
lmo1464,987671,4,3,480,395
lmo1465,987827,34,6,409,375
lmo1466,987828,136,48,1582,1609
lmo1467,986679,128,26,723,1147
lmo1468,987837,2493,50,33218,9025
rpsU,987865,155,7,44185,8954
lmo1470,986707,21,2,310,136
prmA,985409,64,11,294,243
dnaJ,987063,253,61,1963,1342
dnaK,986290,383,180,4281,3766
grpE,986715,30,20,495,498
hrcA,986933,144,254,2449,5818
hemN,986959,54,7,992,570
lmo1477,986668,1,0,49,33
lmo1478,986291,1,0,87,125
lepA,986365,586,36,7601,3113
rpsT,986932,3034,26,20121,9348
holA,986943,69,4,3053,1853
comEC,987002,5,6,168,252
comEB,986960,36,4,1019,883
comEA,986981,0,0,35,23
lmo1485,987000,48,13,146,152
lmo1486,986988,49,0,334,160
lmo1487,986903,126,8,3151,1230
nadD,986963,124,32,953,726
lmo1489,986948,11,1,76,42
lmo1490,986965,130,5,235,231
lmo1491,986978,248,10,552,679
lmo1492,986939,39,0,254,614
lmo1493,986970,667,91,8310,4039
lmo1494,986944,388,43,5032,3030
lmo1495,986966,512,103,9848,4630
greA,986962,50,0,773,643
udk,986986,28,0,297,72
lmo1498,986934,19,0,264,65
lmo1499,987003,87,44,7592,3805
lmo1500,986971,928,142,525,682
lmo1501,987755,791,18,9209,7305
lmo1502,986975,259,11,6760,3545
lmo1503,987746,142,9,6016,3288
alaS,987749,379,50,3083,2603
lmo1505,987751,2,0,135,51
lmo1506,987750,0,0,22,31
lmo1507,987756,21,8,210,187
lmo1508,987753,273,80,1005,811
lmo1509,987759,267,38,3309,1818
lmo1510,987762,135,4,586,443
lmo1511,987758,46,3,594,587
mnmA,987757,418,71,3276,1908
lmo1513,987764,94,20,504,644
lmo1514,987768,77,15,1015,931
lmo1515,987766,55,12,266,597
lmo1516,987771,55,14,136,20
lmo1517,987779,3,0,77,8
lmo1518,987772,85,27,1215,980
aspS,987778,2025,78,10707,7134
hisS,987781,254,12,1423,1089
lmo1521,987780,395,58,10926,12423
lmo1522,987785,248,59,4400,2205
relA,987788,271,173,3324,2016
apt,987786,1235,6,2923,1070
lmo1525,987789,286,49,1352,708
lmo1526,987791,76,4,3202,1050
lmo1527,987793,1782,157,28500,11271
lmo1528,987797,86,0,1414,1496
lmo1529,987799,3004,38,16670,9428
tgt,987798,785,108,42047,12915
queA,987806,213,26,1660,1654
ruvB,987802,30,16,486,550
ruvA,987805,29,18,733,844
lmo1534,987808,648,49,981,948
lmo1535,987810,83,5,922,1564
lmo1536,987813,244,24,4750,1630
obgE,987811,996,40,4777,2708
glpK,987807,131,50,3572,2476
lmo1539,987817,379,105,2586,1183
rpmA,987815,11115,485,37354,13951
lmo1541,987818,3215,213,33539,12074
rplU,987770,1065,19,25835,10036
lmo1543,987819,47,11,610,366
minD,987814,561,108,2954,1069
minC,987769,134,10,780,752
mreD,986901,115,139,1793,766
mreC,986941,720,91,8280,1814
mreB,986954,636,49,3935,2239
radC,986979,6,1,53,55
comC,986994,0,0,75,58
folC,986919,119,13,1727,733
valS,986904,380,77,5540,2828
hemL,986918,260,37,4800,3438
hemB,986926,222,30,2516,1100
hemD,986929,156,44,374,320
hemC,986927,69,10,438,559
hemA,986920,132,12,1222,1705
engB,986915,325,8,2925,1768
thrS,986974,454,58,1818,1589
dnaI,986905,30,0,508,386
dnaB,986991,79,16,834,531
nrdR,986952,15,2,361,152
coaE,986899,4,0,149,96
mutM,986950,41,11,276,224
polA,986949,146,31,3777,1699
citC,986955,170,41,3487,1228
citZ,986909,51,31,1329,734
lmo1568,986923,26,2,298,307
fxsA,986906,41,44,2769,2385
pykA,986914,6252,509,21124,14200
pfkA,986951,3827,156,10646,9978
accA,986992,279,0,2982,778
accD,986998,40,3,1816,756
dnaE,986993,119,23,1858,1291
lmo1575,986973,48,10,618,757
lmo1576,986987,25,3,512,370
lmo1577,986999,46,13,1595,1983
lmo1578,986985,301,103,2348,5345
lmo1579,986945,407,90,12296,18664
