#SAMPLE,MEDIAN_INSERT_SIZE,MEDIAN_ABSOLUTE_DEVIATION,MEAN_INSERT_SIZE,STANDARD_DEVIATION
R1504202609,223,41,231.0767,61.528087
R1504202610,248,41,251.438062,61.723434
R1504202612,311,58,309.370353,81.892828
R1504202613,264,45,269.619524,68.307212
R1504202614,253,40,257.024563,60.612889
R1504202611,209,37,217.240208,57.414388
R1504202615,248,45,255.410017,64.380759
R1504202616,193,28,198.146773,44.949632
R1504202617,250,51,255.729496,71.024785
NA18535-WES-HZ,273,41,278.05642,63.415649
