	R1506023210.filt.isoforms	R1506023214.filt.isoforms
ENST00000415496.1,0.019,1.102,MGRN1
ENST00000521331.1,0.359,7.104,PRKDC
ENST00000376723.3,8.906,0.927,UGGT1
ENST00000445776.1,0.554,27.532,PSMD4
ENST00000303154.6,0.340,12.932,RP11-423H2.1
ENST00000542103.1,7.848,0.154,C22orf39
ENST00000461911.1,14.607,0.474,AAMP
ENST00000530192.1,14.151,0.556,RNASEH2C
ENST00000510168.1,1.651,0.031,ATP2C1
ENST00000521780.1,1.457,0.010,EPHX2
ENST00000553182.1,10.732,1.194,DDX23
ENST00000574426.2,2.195,0.103,CLUH
ENST00000466048.2,0.078,2.070,USP54
ENST00000375266.4,2.185,0.113,PYROXD1
ENST00000543245.2,3.302,57.854,ACADVL
ENST00000533238.1,60.353,5.189,HSPA8
ENST00000433402.2,0.845,0.010,ADAMTS16
ENST00000519278.1,0.019,1.277,NDRG1
ENST00000397871.1,0.233,6.517,THOC5
ENST00000469141.2,9.402,0.700,THRAP3
ENST00000392102.1,0.010,1.390,TTLL4
ENST00000435359.1,0.253,2.368,CLUH
ENST00000357546.2,0.165,2.440,DHRS9
ENST00000497984.1,1.379,18.935,SMC4
ENST00000493591.1,8.819,0.556,HK1
ENST00000541172.1,6.362,0.062,CIZ1
ENST00000342947.3,0.991,0.051,DFNA5
ENST00000357573.6,1.282,0.082,RABEP2
ENST00000344269.3,0.058,1.287,ARVCF
ENST00000376083.3,0.214,2.852,AGTPBP1
ENST00000397100.2,1.826,18.770,C7orf50
ENST00000540339.1,1.797,0.113,RP11-1212A22.1
ENST00000416404.2,4.982,0.278,PHF6
ENST00000532820.1,14.025,1.586,CAPRIN1
ENST00000452389.2,4.934,0.597,GORASP1
ENST00000485649.2,2.826,0.278,SLC19A1
ENST00000490508.1,0.058,1.061,ELMOD3
ENST00000538860.1,0.456,7.846,ADD1
ENST00000392316.1,10.004,0.010,MYO1B
ENST00000468463.1,2.088,0.175,IP6K1
ENST00000487179.1,1.263,0.062,CTAGE8
ENST00000472750.1,2.205,0.051,PEX19
ENST00000478348.1,5.235,202.576,S100A10
ENST00000569240.1,8.217,1.215,CNOT1
ENST00000408954.3,1.030,0.010,DAPK1
ENST00000476064.1,0.010,1.215,NPRL2
ENST00000369496.4,4.196,79.486,ATP1A1
ENST00000481619.1,4.244,0.216,FAM50A
ENST00000321264.4,0.049,1.369,D2HGDH
ENST00000485194.1,10.480,0.607,ATP13A3
ENST00000406957.1,18.007,0.041,XPO1
ENST00000282943.5,1.156,0.031,GPR125
ENST00000442475.1,0.194,4.942,P2RX6
ENST00000394839.2,0.437,4.654,PRKACB
ENST00000374893.6,5.429,0.618,ECE1
ENST00000392017.4,2.244,0.021,ATG16L1
ENST00000522090.1,4.380,0.103,TMEM68
ENST00000589745.1,14.083,0.350,TNNT1
ENST00000340250.6,12.733,1.555,FSCN1
ENST00000605660.1,0.078,2.245,PPP1R26
ENST00000425562.2,3.477,0.268,LRCH3
ENST00000356338.6,2.001,0.257,MYO5A
ENST00000392323.2,2.350,0.134,STAT1
ENST00000372220.4,0.029,2.121,POMT1
ENST00000366716.1,1.214,28.098,GUK1
ENST00000360718.5,0.330,4.561,SQSTM1
ENST00000505330.1,0.019,1.215,ATP2C1
ENST00000533519.1,0.253,4.829,MUS81
ENST00000415618.2,56.885,1.194,CANX
ENST00000394072.3,0.146,6.806,TNS4
ENST00000370567.1,5.216,0.515,ODF2L
ENST00000361036.6,0.923,8.330,GPAA1
ENST00000494920.1,1.078,22.188,KDM1A
ENST00000444272.1,25.272,2.409,SYNCRIP
ENST00000317020.6,7.867,0.649,KIAA0895
ENST00000355852.2,10.392,0.566,PCBP4
ENST00000590854.1,0.107,1.256,EPG5
ENST00000322048.7,9.042,0.381,ROGDI
ENST00000492361.1,0.214,2.234,TNFRSF1B
ENST00000395038.2,3.186,0.134,SOS1
ENST00000502643.1,4.390,0.185,LEMD2
ENST00000311350.3,2.846,0.237,HERPUD2
ENST00000462666.1,3.691,0.051,PLSCR1
ENST00000372500.3,17.735,1.719,SLC2A1
ENST00000498711.1,1.894,46.868,CLTC
ENST00000496112.1,25.835,2.945,YKT6
ENST00000545736.1,8.343,0.577,CORO1B
ENST00000473330.1,1.884,59.182,FSCN1
ENST00000440111.2,0.058,4.026,TSC1
ENST00000483118.1,0.039,1.102,ZNF341
ENST00000371385.3,0.029,1.750,PLCE1
ENST00000460903.2,9.878,0.803,YIPF3
ENST00000409681.1,2.671,0.010,POLR1A
ENST00000457946.1,0.223,2.420,ZMYM4
ENST00000344034.4,25.767,2.759,PPM1G
ENST00000582707.1,8.722,0.813,USP14
ENST00000567566.1,3.730,0.124,MARVELD3
ENST00000350303.5,18.560,2.265,ACADVL
ENST00000260766.3,2.768,0.360,PLCE1
ENST00000372273.3,3.603,0.319,TMEM254
ENST00000537197.1,0.194,2.615,RRM1
ENST00000378424.4,1.127,0.010,FAM213B
ENST00000520569.1,1.098,13.972,DIAPH1
ENST00000484614.1,0.019,2.512,NUP62CL
ENST00000426621.2,0.437,10.059,MAFF
ENST00000527826.1,14.598,0.371,RPS2
ENST00000380579.1,1.030,0.062,TRAPPC2
ENST00000353196.1,0.554,5.879,ACLY
ENST00000483967.1,6.459,0.618,EZH2
ENST00000555394.1,6.294,0.721,NUMB
ENST00000488500.1,619.486,93.561,EEF1A1
ENST00000394609.2,5.730,67.944,RTN4
ENST00000576432.1,0.010,7.073,TBCD
ENST00000431877.2,21.960,2.780,SSFA2
ENST00000535861.1,2.263,0.216,ZNF185
ENST00000340062.5,0.126,5.251,STYXL1
ENST00000524902.1,1.263,11.202,MTA2
ENST00000372210.3,0.408,4.304,UCK1
ENST00000588618.1,43.997,4.057,ACTN4
ENST00000561610.1,0.379,20.860,PPP4C
ENST00000409174.1,0.369,4.602,HK2
ENST00000595618.1,4.021,0.587,MYO9B
ENST00000491569.1,0.330,7.835,ATP6AP1
ENST00000428575.2,3.817,32.587,XRCC6
ENST00000498417.1,0.107,1.781,ANKRD54
ENST00000397573.1,0.136,1.647,BMF
ENST00000446699.1,17.958,1.390,EIF2AK1
ENST00000451054.1,0.136,7.794,RP11-465B22.3
ENST00000528782.1,15.987,0.999,LGALS8
ENST00000607647.1,0.408,4.798,NUP205
ENST00000508079.1,45.357,4.479,WDR1
ENST00000534831.1,36.995,4.983,GPRC5A
ENST00000532601.1,58.391,997.777,FTH1
ENST00000420415.1,0.874,11.593,TFRC
ENST00000585608.1,22.018,3.161,PRKAR1A
ENST00000204726.3,0.913,0.031,GOLGA3
ENST00000585847.1,10.509,1.102,VMP1
ENST00000574911.1,0.272,2.904,C17orf85
ENST00000378206.1,0.039,1.750,DFFB
ENST00000527646.1,4.273,0.051,VPS51
ENST00000369509.1,4.371,0.124,VANGL1
ENST00000486621.1,10.654,0.731,TTC4
ENST00000371656.2,0.903,9.987,TMEM189
ENST00000379803.1,0.592,0.031,SIN3B
ENST00000561086.1,0.204,26.389,IQGAP1
ENST00000379960.5,0.602,0.021,ITSN1
ENST00000553700.1,4.604,0.597,HECTD1
ENST00000464789.2,0.126,2.965,SUPT7L
ENST00000590201.1,0.418,4.819,SYNGR2
ENST00000464601.1,0.097,3.398,MCCC1
ENST00000439918.2,7.323,0.309,P4HB
ENST00000222800.3,6.682,0.690,ABHD11
ENST00000349238.3,1.632,0.010,MADD
ENST00000550919.1,0.058,5.261,CERS5
ENST00000391844.4,5.944,0.680,AKT2
ENST00000296932.8,0.058,2.193,GPR126
ENST00000407364.3,0.194,2.296,METTL15
ENST00000395245.3,10.519,0.268,RAB34
ENST00000407755.1,0.670,0.021,DGCR8
ENST00000451380.1,1.253,0.062,TTC39A
ENST00000553494.1,10.383,0.680,PRC1
ENST00000441461.1,10.402,0.597,PPP1CB
ENST00000489537.1,4.244,0.082,SF3A3
ENST00000515225.1,4.769,0.062,DLC1
ENST00000400181.4,11.198,1.153,KDM1A
ENST00000489733.1,5.274,0.288,DLG3
ENST00000572932.1,0.592,10.883,NOMO3
ENST00000330494.7,2.428,0.010,CHD3
ENST00000579388.1,0.136,2.420,CORO6
ENST00000553118.1,1.855,0.175,GIT2
ENST00000523347.1,0.146,2.255,ESRP1
ENST00000483421.3,0.272,5.354,ZNF638
ENST00000450534.1,4.147,0.093,RP11-438J1.1
ENST00000598155.1,0.058,2.275,SYMPK
ENST00000392177.4,13.219,1.380,EZR
ENST00000577961.1,0.204,6.178,YES1
ENST00000423947.3,2.962,0.237,ANO6
ENST00000494740.1,0.019,4.232,PI4KAP2
ENST00000395494.2,6.080,0.731,ATP2A2
ENST00000345535.4,0.505,8.144,SLX1A
ENST00000532517.1,0.097,1.163,PHLDB1
ENST00000345425.2,0.631,8.700,GIPC1
ENST00000533495.1,0.194,2.615,RRM1
ENST00000575895.1,7.644,0.144,PITPNA
ENST00000523539.1,0.311,8.741,PTK2
ENST00000465647.1,1.243,0.093,NAPEPLD
ENST00000460665.1,0.078,2.131,TMEM214
ENST00000548998.1,33.401,0.896,KRT8
ENST00000370082.1,1.573,0.021,HELZ2
ENST00000477902.2,0.738,8.381,MTG1
ENST00000225777.3,4.720,0.206,SYNGR2
ENST00000324301.8,0.243,5.416,CNDP2
ENST00000412274.2,6.061,0.268,DDR1
ENST00000392711.1,22.708,2.131,PRKAR1A
ENST00000555330.1,0.291,2.718,AREL1
ENST00000350092.4,1.049,45.499,PTBP1
ENST00000308394.4,2.049,0.247,CASP3
ENST00000373302.3,3.147,0.134,STXBP1
ENST00000403359.3,3.487,0.443,FBXO11
ENST00000443638.1,31.750,4.448,TM9SF3
ENST00000507900.1,0.524,5.683,DDX41
ENST00000518721.1,1.515,0.175,ASAP1
ENST00000422737.1,1.447,0.175,ARID2
ENST00000317827.4,3.176,0.474,TACC1
ENST00000481073.1,1.874,26.626,XPO1
ENST00000584288.1,5.002,0.371,AKT2
ENST00000470125.1,0.262,4.376,UNC119
ENST00000560433.1,0.058,0.978,SNRPA1
ENST00000490574.1,1.923,28.850,TFG
ENST00000292586.6,1.282,0.021,C5orf45
ENST00000370169.1,0.010,1.061,POLL
ENST00000602449.1,0.097,5.344,RP4-545K15.3
ENST00000531930.1,6.449,0.371,PICALM
ENST00000406950.2,3.768,0.422,TENM3
ENST00000579294.1,0.185,3.511,FLII
