	R1506023209.filt.isoforms	R1506023214.filt.isoforms
ENST00000429801.1,0.430,4.468,NUP98
ENST00000521331.1,0.201,7.220,PRKDC
ENST00000445776.1,0.831,27.979,PSMD4
ENST00000409915.4,11.966,1.423,SF3B1
ENST00000303154.6,0.449,13.142,RP11-423H2.1
ENST00000342988.3,1.348,0.199,SMAD4
ENST00000461911.1,23.683,0.481,AAMP
ENST00000491687.1,0.325,6.278,PIGO
ENST00000371998.3,4.091,0.481,NCOA3
ENST00000510168.1,3.240,0.031,ATP2C1
ENST00000403299.1,5.142,0.335,CARD10
ENST00000553182.1,12.157,1.214,DDX23
ENST00000509082.1,0.392,9.438,SDHA
ENST00000467722.2,6.078,0.628,SPECC1
ENST00000525684.1,9.452,0.973,C11orf58
ENST00000495279.2,3.049,0.335,MBOAT7
ENST00000433402.2,1.128,0.010,ADAMTS16
ENST00000519278.1,0.029,1.297,NDRG1
ENST00000469141.2,9.089,0.711,THRAP3
ENST00000309052.4,2.647,0.377,LCLAT1
ENST00000368474.4,43.926,5.650,ADAR
ENST00000489145.1,1.156,13.801,NUPL2
ENST00000437082.1,2.915,0.303,RP11-438J1.1
ENST00000324342.3,0.096,1.392,RNF128
ENST00000463417.1,0.535,6.341,CAPN7
ENST00000406175.3,0.583,11.091,EML4
ENST00000359902.2,0.048,1.099,CCDC88B
ENST00000444777.1,0.038,4.049,EEPD1
ENST00000540339.1,1.491,0.115,RP11-1212A22.1
ENST00000475111.2,3.345,0.293,TMEM30A
ENST00000471896.1,0.010,1.475,STARD3
ENST00000416404.2,7.722,0.283,PHF6
ENST00000452389.2,7.206,0.607,GORASP1
ENST00000392316.1,11.899,0.010,MYO1B
ENST00000458124.1,0.048,1.685,SLC6A6
ENST00000468463.1,2.217,0.178,IP6K1
ENST00000399469.2,0.019,1.036,HIVEP1
ENST00000547691.2,0.124,1.329,CEP290
ENST00000472750.1,1.644,0.052,PEX19
ENST00000513435.1,16.314,2.208,TRIP13
ENST00000371744.1,0.659,0.042,ZNFX1
ENST00000332878.4,4.511,0.659,MACC1
ENST00000569240.1,15.301,1.235,CNOT1
ENST00000397817.1,1.835,17.463,MPG
ENST00000401478.1,3.249,0.408,DPYSL5
ENST00000476241.1,12.988,1.852,HNRNPU
ENST00000489635.1,2.083,0.262,MIB2
ENST00000469154.1,0.038,0.994,SMARCD3
ENST00000262544.2,0.010,2.825,SEC23B
ENST00000540905.1,0.459,4.614,KIFAP3
ENST00000488543.1,0.191,4.865,HDAC6
ENST00000454323.1,1.090,12.734,CUL3
ENST00000476936.1,15.005,1.622,CAPZA1
ENST00000366508.1,4.091,0.429,AHCTF1
ENST00000446045.1,0.105,1.768,AAED1
ENST00000295746.8,2.657,0.199,KIAA1524
ENST00000395411.1,0.201,1.967,CSNK1G3
ENST00000340645.5,0.076,2.103,GOLGB1
ENST00000357495.2,0.096,3.578,HNRNPA1L2
ENST00000577706.1,0.803,21.366,TOP2A
ENST00000425562.2,2.733,0.272,LRCH3
ENST00000522117.1,0.593,0.021,SPIDR
ENST00000541748.1,0.354,6.832,ELP2
ENST00000395109.2,0.048,4.321,SEPT5
ENST00000556356.1,0.315,4.342,LRP1
ENST00000515687.1,0.162,3.484,STX18
ENST00000351666.3,0.143,6.184,BRCA1
ENST00000541342.1,0.593,0.021,SPIDR
ENST00000360718.5,0.526,4.635,SQSTM1
ENST00000580484.1,4.110,0.220,SAP30BP
ENST00000467026.1,0.287,3.568,MCM3AP
ENST00000260795.2,0.115,1.193,FGFR3
ENST00000579758.1,1.300,12.022,FASN
ENST00000552844.1,4.826,0.073,ARHGAP29
ENST00000317020.6,10.265,0.659,KIAA0895
ENST00000355852.2,8.439,0.575,PCBP4
ENST00000418123.1,0.182,6.152,TRIP12
ENST00000395038.2,4.157,0.136,SOS1
ENST00000498711.1,0.401,47.628,CLTC
ENST00000496112.1,40.791,2.992,YKT6
ENST00000253688.5,7.961,0.994,SH3BP5
ENST00000371385.3,0.067,1.779,PLCE1
ENST00000316607.5,0.057,1.161,NSUN7
ENST00000468254.1,0.688,7.188,CEP170
ENST00000475573.1,2.198,0.010,NME1
ENST00000543672.1,15.894,1.308,DCTN2
ENST00000460405.1,19.334,1.998,LDHA
ENST00000478431.1,0.774,7.471,RING1
ENST00000440943.1,0.382,6.163,NRD1
ENST00000344034.4,63.470,2.804,PPM1G
ENST00000567566.1,3.775,0.126,MARVELD3
ENST00000367177.3,2.017,0.209,LRRN2
ENST00000260766.3,2.370,0.366,PLCE1
ENST00000543024.1,0.679,7.063,SNX17
ENST00000457138.2,6.298,0.220,DDX3X
ENST00000509465.1,0.057,1.465,DGKQ
ENST00000313863.6,0.096,2.145,MKS1
ENST00000527826.1,33.412,0.377,RPS2
ENST00000441917.2,0.545,11.583,ANAPC5
ENST00000564558.1,0.010,0.534,ZFP90
ENST00000295874.10,0.879,0.042,PTPRG
ENST00000483967.1,7.684,0.628,EZH2
ENST00000475270.1,0.210,9.176,FPGS
ENST00000555394.1,7.780,0.732,NUMB
ENST00000421731.1,0.965,9.051,FANCD2
ENST00000569441.1,1.997,0.188,JMJD8
ENST00000488500.1,726.855,95.079,EEF1A1
ENST00000531657.1,0.354,3.296,PPFIA1
