##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	R1506023208_S1_L004_.non-rRNA.1.P.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	24785196
Sequences flagged as poor quality	0
Sequence length	20-76
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.95275377285699	32.0	32.0	32.0	27.0	32.0
2	31.647630424225817	32.0	32.0	32.0	32.0	32.0
3	35.66986462402799	37.0	37.0	37.0	32.0	37.0
4	36.224196169358514	37.0	37.0	37.0	37.0	37.0
5	36.43935872042327	37.0	37.0	37.0	37.0	37.0
6	40.468189438566476	42.0	42.0	42.0	37.0	42.0
7	40.52481594254893	42.0	42.0	42.0	37.0	42.0
8	40.67180743698779	42.0	42.0	42.0	37.0	42.0
9	40.70851559939248	42.0	42.0	42.0	37.0	42.0
10-11	40.78749098857237	42.0	42.0	42.0	37.0	42.0
12-13	40.86439356783784	42.0	42.0	42.0	37.0	42.0
14-15	40.76555787575777	42.0	42.0	42.0	37.0	42.0
16-17	40.74337421015352	42.0	42.0	42.0	37.0	42.0
18-19	40.717016298761564	42.0	42.0	42.0	37.0	42.0
20-21	40.66065609880793	42.0	42.0	42.0	37.0	42.0
22-23	40.62015888712882	42.0	42.0	42.0	37.0	42.0
24-25	40.60957565458777	42.0	42.0	42.0	37.0	42.0
26-27	40.514862337215334	42.0	42.0	42.0	37.0	42.0
28-29	40.42736548272838	42.0	42.0	42.0	37.0	42.0
30-31	40.44470778620092	42.0	42.0	42.0	37.0	42.0
32-33	40.405872947246735	42.0	42.0	42.0	37.0	42.0
34-35	40.33930093301701	42.0	42.0	42.0	37.0	42.0
36-37	40.34929307724705	42.0	42.0	42.0	37.0	42.0
38-39	40.35272128966717	42.0	42.0	42.0	37.0	42.0
40-41	40.343740244324295	42.0	42.0	42.0	37.0	42.0
42-43	40.35732345979248	42.0	42.0	42.0	37.0	42.0
44-45	40.35804116150756	42.0	42.0	42.0	37.0	42.0
46-47	40.323517616101036	42.0	42.0	42.0	37.0	42.0
48-49	40.317068105923354	42.0	42.0	42.0	37.0	42.0
50-51	40.33893448513301	42.0	42.0	42.0	37.0	42.0
52-53	40.310421943659605	42.0	42.0	42.0	37.0	42.0
54-55	40.28783512302171	42.0	42.0	42.0	37.0	42.0
56-57	40.268267638036164	42.0	42.0	42.0	37.0	42.0
58-59	40.21726955634598	42.0	42.0	42.0	37.0	42.0
60-61	40.189345926345254	42.0	42.0	42.0	37.0	42.0
62-63	40.09060966603451	42.0	42.0	42.0	37.0	42.0
64-65	40.036078371553366	42.0	42.0	42.0	37.0	42.0
66-67	39.98067432005705	42.0	42.0	42.0	37.0	42.0
68-69	39.88882785963415	42.0	42.0	42.0	37.0	42.0
70-71	39.806792490190716	42.0	42.0	42.0	37.0	42.0
72-73	39.73467472600265	42.0	42.0	42.0	32.0	42.0
74-75	39.751186697964144	42.0	42.0	42.0	32.0	42.0
76	39.837371070739245	42.0	37.0	42.0	32.0	42.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.0475496941843474
1101	2	-0.011549901654305472
1101	3	-0.0360741415333905
1101	4	0.09707593703414119
1101	5	0.10916218960750257
1101	6	0.20291761670598163
1101	7	0.04537281271805682
1101	8	0.0537882970946697
1101	9	0.08200765559462297
1101	10-11	0.04525252984263517
1101	12-13	0.05323852643756055
1101	14-15	0.02008261069683215
1101	16-17	-0.0535226527509991
1101	18-19	-0.057838683312724015
1101	20-21	-0.07752178267893584
1101	22-23	-0.14422824961883407
1101	24-25	-0.07402176968025032
1101	26-27	-0.09917827477137564
1101	28-29	-0.20727918950415614
1101	30-31	-0.28767668812115943
1101	32-33	-0.19104016088089537
1101	34-35	-0.14692250753311953
1101	36-37	-0.32578004444705044
1101	38-39	-0.32778823080585084
1101	40-41	-0.2660251386372465
1101	42-43	-0.22571586722661863
1101	44-45	-0.2611619731852528
1101	46-47	-0.16197897991501264
1101	48-49	-0.17805336039163677
1101	50-51	-0.18915345708621345
1101	52-53	-0.2714066486423121
1101	54-55	-0.3471341233066241
1101	56-57	-0.46852201900045287
1101	58-59	-0.5393706294616862
1101	60-61	-0.8558956566633427
1101	62-63	-1.1275292724764796
1101	64-65	-1.312506599132547
1101	66-67	-1.6333599507335137
1101	68-69	-1.799301380565872
1101	70-71	-1.9867184949182572
1101	72-73	-2.217126674423902
1101	74-75	-2.179450401535931
1101	76	-2.4947271942886076
1102	1	-0.06694422895953522
1102	2	0.04174913865675833
1102	3	0.045423741581544164
1102	4	-0.04938582237839029
1102	5	-0.08409706564087571
1102	6	-0.16433038114876553
1102	7	-0.134172069886354
1102	8	-0.05074067664151727
1102	9	-0.05362728100195824
1102	10-11	-0.09806989676255995
1102	12-13	-0.06057844164672588
1102	14-15	-0.09040572967560223
1102	16-17	-0.14381777901635928
1102	18-19	-0.07258059608984979
1102	20-21	-0.10298554336723242
1102	22-23	-0.15359322874682846
1102	24-25	-0.27959284587047506
1102	26-27	-0.23475319482178492
1102	28-29	-0.17003895997529384
1102	30-31	-0.18191044567434744
1102	32-33	-0.3294067716814837
1102	34-35	-0.34920690458318404
1102	36-37	-0.4185453886065247
1102	38-39	-0.47126122812424853
1102	40-41	-0.5161285349432632
1102	42-43	-0.5832237171960841
1102	44-45	-0.4338379804437622
1102	46-47	-0.35137606817194467
1102	48-49	-0.30103633963019405
1102	50-51	-0.35923611818213175
1102	52-53	-0.2667649079065697
1102	54-55	-0.29619881337090703
1102	56-57	-0.3093090135725731
1102	58-59	-0.40415909225231417
1102	60-61	-0.5397499796553262
1102	62-63	-0.7292207174037202
1102	64-65	-0.8955204023300638
1102	66-67	-1.149009093524647
1102	68-69	-1.2453707031419583
1102	70-71	-1.4169272413354506
1102	72-73	-1.5183083586979151
1102	74-75	-1.6695602186828253
1102	76	-1.895554302828657
1103	1	-0.04838055036614364
1103	2	-0.03665320865160382
1103	3	-0.03093152605249827
1103	4	-0.019957168792373636
1103	5	0.10405612840882839
1103	6	0.12599534711367255
1103	7	0.19656653900585042
1103	8	0.07412875875748881
1103	9	0.015548564448486957
1103	10-11	0.060032984139191115
1103	12-13	0.031646435069781376
1103	14-15	0.07280316681735144
1103	16-17	0.07316940471891797
1103	18-19	0.021573001345885245
1103	20-21	0.03160396867811954
1103	22-23	-0.0248976906809375
1103	24-25	-0.026357364608244893
1103	26-27	-0.03141986534878782
1103	28-29	-0.09826722758552364
1103	30-31	-0.13280299053506184
1103	32-33	-0.11572098349430604
1103	34-35	-0.08130625200565333
1103	36-37	-0.18740103423916565
1103	38-39	-0.1908192007740439
1103	40-41	-0.279201639975156
1103	42-43	-0.24414015421249502
1103	44-45	-0.18025397505122953
1103	46-47	-0.203352511447072
1103	48-49	-0.232022679704734
1103	50-51	-0.11522448549400366
1103	52-53	-0.14653016881030823
1103	54-55	-0.11585840594786845
1103	56-57	-0.0805256893915427
1103	58-59	-0.14768717164955092
1103	60-61	-0.29520585612980454
1103	62-63	-0.40278605518716404
1103	64-65	-0.44303184623902325
1103	66-67	-0.8470328875762902
1103	68-69	-1.0865988590719766
1103	70-71	-1.0808570010953318
1103	72-73	-1.200743371104842
1103	74-75	-1.4321566904384682
1103	76	-1.639421486872351
1104	1	0.06314201029385202
1104	2	0.024714400969486405
1104	3	0.10691264086944585
1104	4	0.03624622045625614
1104	5	-0.03157554630358561
1104	6	0.016605063276642795
1104	7	-0.04086288465814647
1104	8	0.015006321688602497
1104	9	-0.05147782806421475
1104	10-11	-0.008930494422507707
1104	12-13	-0.12592144101164848
1104	14-15	-0.04892869988382387
1104	16-17	-0.1033981623847211
1104	18-19	-0.07374242007868759
1104	20-21	-0.1458900533015921
1104	22-23	-0.1603003686855473
1104	24-25	-0.15768751344605647
1104	26-27	-0.23478094842592867
1104	28-29	-0.23972592973721873
1104	30-31	-0.17742433324195162
1104	32-33	-0.17207131053113756
1104	34-35	-0.15087368913263077
1104	36-37	-0.2673550883905662
1104	38-39	-0.3137056194314738
1104	40-41	-0.2713865826077466
1104	42-43	-0.2460827686921121
1104	44-45	-0.26098000644605435
1104	46-47	-0.25982337761526964
1104	48-49	-0.34071153596671166
1104	50-51	-0.26531795108855505
1104	52-53	-0.25061600757748437
1104	54-55	-0.2113211479863324
1104	56-57	-0.2130958965699037
1104	58-59	-0.27162924221980234
1104	60-61	-0.32219630937768784
1104	62-63	-0.31518891618693345
1104	64-65	-0.4478613767257684
1104	66-67	-0.6146972847782379
1104	68-69	-0.9363987653381756
1104	70-71	-1.0226577404069346
1104	72-73	-0.9299846154452283
1104	74-75	-1.1919999952263325
1104	76	-1.4058305202997445
1105	1	0.009670961657924693
1105	2	0.02231377357025366
1105	3	0.05478239342396307
1105	4	0.10412740565177359
1105	5	0.052557521269761764
1105	6	0.16875316015089936
1105	7	0.0951944454963467
1105	8	0.16968349839369523
1105	9	0.029660219991029635
1105	10-11	0.11509180106970263
1105	12-13	0.1373171251601164
1105	14-15	0.07872775772836604
1105	16-17	0.1283219991427842
1105	18-19	0.06697431820676059
1105	20-21	0.05555523347712921
1105	22-23	0.048780381606903234
1105	24-25	0.0551646828388499
1105	26-27	0.03309130481803635
1105	28-29	0.04492153275284494
1105	30-31	0.03171690862931342
1105	32-33	-7.572362836185675E-4
1105	34-35	0.07122265955350571
1105	36-37	0.06427326804338662
1105	38-39	0.02350627122720539
1105	40-41	-0.01708290120437539
1105	42-43	-0.03445842794361198
1105	44-45	-0.04218306596253285
1105	46-47	-0.031011599017865876
1105	48-49	-0.00703800317936043
1105	50-51	-0.006791797663787236
1105	52-53	0.0679540559438081
1105	54-55	0.06644974330537678
1105	56-57	-0.01326773269020265
1105	58-59	-0.02198263684883983
1105	60-61	-0.11648122659359927
1105	62-63	-0.13197388929637555
1105	64-65	-0.24838922832965693
1105	66-67	-0.5219905042663697
1105	68-69	-0.6628234612887667
1105	70-71	-0.9376542983010054
1105	72-73	-1.0179419281108366
1105	74-75	-1.364908199185109
1105	76	-1.8542235282981139
1106	1	-0.04805041076202343
1106	2	-0.04517210668429783
1106	3	-0.1109936058123111
1106	4	0.005749803298343181
1106	5	-0.09039608992965498
1106	6	-0.13294990731733236
1106	7	-0.0580687259581083
1106	8	-0.01303810932112981
1106	9	0.01454911775129375
1106	10-11	-0.03550361814016867
1106	12-13	-0.0714817546130817
1106	14-15	-0.02968826411979819
1106	16-17	-0.025530486488065662
1106	18-19	-0.10996927589498284
1106	20-21	-0.057873210775383654
1106	22-23	-0.11817282640396343
1106	24-25	-0.05736320111929416
1106	26-27	-0.2035671398291683
1106	28-29	-0.34397810980841825
1106	30-31	-0.11305209443009545
1106	32-33	-0.23716046767757604
1106	34-35	-0.08811576072508132
1106	36-37	-0.14011186768781414
1106	38-39	-0.21550905333428005
1106	40-41	-0.1356802916407176
1106	42-43	-0.17836238269313043
1106	44-45	-0.19633199137135904
1106	46-47	-0.2520222932401808
