##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	R1506023212_S6_L004_.non-rRNA.1.P.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	25044090
Sequences flagged as poor quality	0
Sequence length	20-76
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.963761390411868	32.0	32.0	32.0	27.0	32.0
2	31.636905832873143	32.0	32.0	32.0	32.0	32.0
3	35.6520035665101	37.0	37.0	37.0	32.0	37.0
4	36.21469819825755	37.0	37.0	37.0	37.0	37.0
5	36.44641326556485	37.0	37.0	37.0	37.0	37.0
6	40.48879855486863	42.0	42.0	42.0	37.0	42.0
7	40.547909107498015	42.0	42.0	42.0	37.0	42.0
8	40.684886813615506	42.0	42.0	42.0	37.0	42.0
9	40.732314729742626	42.0	42.0	42.0	37.0	42.0
10-11	40.8395860061196	42.0	42.0	42.0	37.0	42.0
12-13	40.89812788166789	42.0	42.0	42.0	37.0	42.0
14-15	40.82612284974219	42.0	42.0	42.0	37.0	42.0
16-17	40.80932615239763	42.0	42.0	42.0	37.0	42.0
18-19	40.79051656498599	42.0	42.0	42.0	37.0	42.0
20-21	40.749057185128564	42.0	42.0	42.0	37.0	42.0
22-23	40.73547208717556	42.0	42.0	42.0	37.0	42.0
24-25	40.725519824706	42.0	42.0	42.0	37.0	42.0
26-27	40.65391071216081	42.0	42.0	42.0	37.0	42.0
28-29	40.613187506537514	42.0	42.0	42.0	37.0	42.0
30-31	40.62628899900395	42.0	42.0	42.0	37.0	42.0
32-33	40.605585431539524	42.0	42.0	42.0	37.0	42.0
34-35	40.55317703985564	42.0	42.0	42.0	37.0	42.0
36-37	40.5981491588712	42.0	42.0	42.0	37.0	42.0
38-39	40.614506552848006	42.0	42.0	42.0	37.0	42.0
40-41	40.63323493757753	42.0	42.0	42.0	37.0	42.0
42-43	40.629612790611105	42.0	42.0	42.0	37.0	42.0
44-45	40.632493617633386	42.0	42.0	42.0	37.0	42.0
46-47	40.60841832024138	42.0	42.0	42.0	37.0	42.0
48-49	40.60448645980296	42.0	42.0	42.0	37.0	42.0
50-51	40.616012411677744	42.0	42.0	42.0	37.0	42.0
52-53	40.60362513943414	42.0	42.0	42.0	37.0	42.0
54-55	40.5830614970493	42.0	42.0	42.0	37.0	42.0
56-57	40.57571765793814	42.0	42.0	42.0	37.0	42.0
58-59	40.555079827459664	42.0	42.0	42.0	37.0	42.0
60-61	40.54194358535946	42.0	42.0	42.0	37.0	42.0
62-63	40.498201251479024	42.0	42.0	42.0	37.0	42.0
64-65	40.49927968884326	42.0	42.0	42.0	37.0	42.0
66-67	40.495033908230724	42.0	42.0	42.0	37.0	42.0
68-69	40.46325456713265	42.0	42.0	42.0	37.0	42.0
70-71	40.461702045451034	42.0	42.0	42.0	37.0	42.0
72-73	40.45000992897949	42.0	42.0	42.0	37.0	42.0
74-75	40.53396425319464	42.0	42.0	42.0	37.0	42.0
76	40.77727256179382	42.0	42.0	42.0	37.0	42.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.0743080319682683
1101	2	-0.03532167425224486
1101	3	-0.07930806279391334
1101	4	0.007561327900596382
1101	5	0.06697951889245957
1101	6	0.11862374002746634
1101	7	-0.024887576293849634
1101	8	0.07461330259100407
1101	9	0.07342298578029016
1101	10-11	0.017348418327522097
1101	12-13	0.035825130051172493
1101	14-15	0.014473187656882658
1101	16-17	-0.043043680696349895
1101	18-19	-0.04024392738275395
1101	20-21	-0.03200232623101584
1101	22-23	-0.08746799495512647
1101	24-25	-0.006033004148108034
1101	26-27	-0.021004694005959834
1101	28-29	-0.06524414142927526
1101	30-31	-0.09568792886042843
1101	32-33	-0.02471170093182451
1101	34-35	0.04730176722949153
1101	36-37	-0.006820102480254775
1101	38-39	-0.04313312826773341
1101	40-41	0.036863481663580444
1101	42-43	0.024059490550278895
1101	44-45	-0.04395159599153686
1101	46-47	-0.008775736368562548
1101	48-49	-0.013908111665578815
1101	50-51	-0.03560824517523287
1101	52-53	-0.09218980948059396
1101	54-55	-0.12598785305254268
1101	56-57	-0.16719744618298904
1101	58-59	-0.08367590967138483
1101	60-61	-0.1543149201449623
1101	62-63	-0.1475297992002922
1101	64-65	-0.08326022918554088
1101	66-67	-0.1396903966213472
1101	68-69	-0.10065501227330742
1101	70-71	-0.04080763473449167
1101	72-73	-0.1269792295515373
1101	74-75	-0.1893612964099347
1101	76	-0.20706714664240877
1102	1	-0.10467186535879591
1102	2	-0.04196618447816647
1102	3	0.010494797183596916
1102	4	-0.10954832532509329
1102	5	-0.09596020336325495
1102	6	-0.22063503292398678
1102	7	-0.17645001151987572
1102	8	-0.07495183934012317
1102	9	-0.11653799456981062
1102	10-11	-0.12372617507230643
1102	12-13	-0.10114953758788658
1102	14-15	-0.11992262800532671
1102	16-17	-0.15547243830398827
1102	18-19	-0.10075386660047769
1102	20-21	-0.032629341544335944
1102	22-23	-0.05901100866542208
1102	24-25	-0.17948065520212708
1102	26-27	-0.1425137273773558
1102	28-29	-0.008906927990224744
1102	30-31	-0.04783408735870154
1102	32-33	-0.09382626513721704
1102	34-35	-0.09375788369069937
1102	36-37	-0.1064004132403511
1102	38-39	-0.13158144400819083
1102	40-41	-0.15814520084659733
1102	42-43	-0.20675840861764527
1102	44-45	-0.11429502975886408
1102	46-47	-0.08818033940352166
1102	48-49	-0.08775313119814143
1102	50-51	-0.11996849197881687
1102	52-53	-0.08063832464630849
1102	54-55	-0.04337962267413786
1102	56-57	-0.10703015859655096
1102	58-59	-0.09039599975923096
1102	60-61	-0.10153766860484836
1102	62-63	-0.14563137803928328
1102	64-65	-0.08430654462407006
1102	66-67	-0.14311709934681005
1102	68-69	-0.1386459363032273
1102	70-71	-0.11939087213950472
1102	72-73	-0.05518916257878459
1102	74-75	-0.095871285670313
1102	76	-0.04806655731286469
1103	1	-0.07505622226651099
1103	2	-0.03758890038424312
1103	3	-0.06288390751103634
1103	4	-0.02081530783032548
1103	5	0.03554464955875147
1103	6	0.09408415171954942
1103	7	0.1351434775550473
1103	8	0.03673804242625778
1103	9	-0.031164810294207257
1103	10-11	-0.00514533957428398
1103	12-13	-0.02031832739558581
1103	14-15	0.05403989914584173
1103	16-17	0.06659121307171745
1103	18-19	0.023583059319570054
1103	20-21	0.0514971131714006
1103	22-23	0.002822843312159762
1103	24-25	0.017343786260539673
1103	26-27	0.06741670092890928
1103	28-29	0.035952195472347626
1103	30-31	-0.053043138404568424
1103	32-33	0.008370921811994947
1103	34-35	0.06091605559713997
1103	36-37	0.03501940649547919
1103	38-39	-0.005210353631653675
1103	40-41	-0.036624129711363196
1103	42-43	-0.03858084073804946
1103	44-45	-0.014496371637228833
1103	46-47	0.020835005456774525
1103	48-49	-0.05388170245577584
1103	50-51	0.018039918755214046
1103	52-53	-0.012778645274316602
1103	54-55	0.007791700564027337
1103	56-57	0.07386609709281089
1103	58-59	0.09698444033244158
1103	60-61	0.05441656541126605
1103	62-63	0.037344343927749435
1103	64-65	0.05558399151048832
1103	66-67	-0.014012496835661636
1103	68-69	-0.11948472160700163
1103	70-71	-0.046388575334702864
1103	72-73	-0.00604904819289942
1103	74-75	-0.03339581121927182
1103	76	0.015969062686359337
1104	1	0.07344149597009064
1104	2	0.00620799622443613
1104	3	0.08384766797031773
1104	4	0.010328445274666365
1104	5	-0.029006358943227895
1104	6	-0.010775025253259685
1104	7	-0.03131435443231112
1104	8	0.012789841349608366
1104	9	-0.04281556198965575
1104	10-11	-0.003596951011246574
1104	12-13	-0.10424371484785411
1104	14-15	-0.018677714773915
1104	16-17	-0.04899016618752228
1104	18-19	0.014281425755534372
1104	20-21	-0.07485459222102975
1104	22-23	-0.10599209600964343
1104	24-25	-0.07934870881950928
1104	26-27	-0.09681363271306509
1104	28-29	-0.04901755590218215
1104	30-31	0.007414222992657926
1104	32-33	0.04621997473492456
1104	34-35	0.0734767481397185
1104	36-37	0.03041692589691536
1104	38-39	-0.012895471867203412
1104	40-41	0.042661195951637865
1104	42-43	0.03998090417962885
1104	44-45	0.03722813249735424
1104	46-47	0.044287760919914376
1104	48-49	0.019040141537907118
1104	50-51	0.059403579322236055
1104	52-53	0.016905240254551757
1104	54-55	0.004592658158436791
1104	56-57	0.04307773988671926
1104	58-59	-0.00439688714093478
1104	60-61	0.002640200799582715
1104	62-63	0.07671549073783979
1104	64-65	0.06508108187813377
1104	66-67	-0.023294916685614453
1104	68-69	-0.07478388206823894
1104	70-71	-0.020844375535347126
1104	72-73	0.055584397752859616
1104	74-75	-0.061716455749390775
1104	76	0.04158054657884236
1105	1	-0.03475009665092088
1105	2	-0.017872533813246605
1105	3	0.02155298511546988
1105	4	0.08881754770112593
1105	5	0.07191031786836533
1105	6	0.11816033804225867
1105	7	0.15056034479471947
1105	8	0.1365280893735914
1105	9	0.05185242139359758
1105	10-11	0.09146011670135579
1105	12-13	0.12290746602968028
1105	14-15	0.04248284311410799
1105	16-17	0.12073358109848442
1105	18-19	0.07061276902316393
1105	20-21	0.08735822226382339
1105	22-23	0.05882245533854302
1105	24-25	0.0688417785042148
1105	26-27	0.0967628010637398
1105	28-29	0.09199194893580653
1105	30-31	0.056855893839092175
1105	32-33	0.05096313969731625
1105	34-35	0.1378625898996546
1105	36-37	0.13261974957697475
1105	38-39	0.14411924690320888
1105	40-41	0.11038593292526144
1105	42-43	0.08865167469100044
1105	44-45	0.07720265257495385
1105	46-47	0.06750210613823526
1105	48-49	0.10882710494421843
1105	50-51	0.1035664868191759
1105	52-53	0.1720365579799079
1105	54-55	0.13155854328551442
1105	56-57	0.0639323066793338
1105	58-59	0.13094738428981856
1105	60-61	0.10504772323110245
1105	62-63	0.13337593784024193
1105	64-65	0.12080352016182871
1105	66-67	0.10684311216981257
1105	68-69	0.13211476041448122
1105	70-71	0.11058034346682177
1105	72-73	0.14669318393122666
1105	74-75	0.10263796464126074
1105	76	0.019685438289599233
1106	1	-0.052321250847228384
1106	2	-0.013325102547511847
1106	3	-0.16015311010171018
1106	4	-0.029269654744190632
1106	5	-0.06530076373476845
1106	6	-0.10887342636344499
1106	7	-0.05785726287217585
1106	8	0.06507413496317582
1106	9	0.028592245697218743
1106	10-11	-0.06453777494850499
1106	12-13	-0.10112733843951816
1106	14-15	0.004274988304324268
1106	16-17	0.009872658827141834
1106	18-19	-0.11895556672848784
1106	20-21	-0.019903523723179717
1106	22-23	-0.07922641813911468
1106	24-25	-5.755863028511499E-4
1106	26-27	-0.11940673394030199
1106	28-29	-0.19322014192128734
1106	30-31	-0.04138259547666934
1106	32-33	-0.12813665338269686
1106	34-35	0.07493174418667081
1106	36-37	0.02762700938670548
1106	38-39	-0.01995622805198849
1106	40-41	0.015874416093232924
1106	42-43	-0.014081225164431999
1106	44-45	-0.038476082517426846
1106	46-47	-0.054915379260506825
1106	48-49	-0.14269669571431365
1106	50-51	-0.17080298042734654
1106	52-53	-0.09005618448180286
1106	54-55	-0.10038595108328252
1106	56-57	-0.12872265626158708
1106	58-59	-0.08530677879399917
1106	60-61	-0.13696870752678336
1106	62-63	-0.08098817978634543
