##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	R1506023212_S6_L004_.non-rRNA.1.fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	26951762
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.859923332656322	32.0	32.0	32.0	27.0	32.0
2	31.522108164950403	32.0	32.0	32.0	32.0	32.0
3	35.48807603005696	37.0	37.0	37.0	32.0	37.0
4	36.08283039157143	37.0	37.0	37.0	32.0	37.0
5	36.33724993564428	37.0	37.0	37.0	37.0	37.0
6	40.28814023365151	42.0	42.0	42.0	37.0	42.0
7	40.36312572068572	42.0	42.0	42.0	37.0	42.0
8	40.50618935415058	42.0	42.0	42.0	37.0	42.0
9	40.55179486966381	42.0	42.0	42.0	37.0	42.0
10-11	40.64493262073181	42.0	42.0	42.0	37.0	42.0
12-13	40.7245802333814	42.0	42.0	42.0	37.0	42.0
14-15	40.64964351866865	42.0	42.0	42.0	37.0	42.0
16-17	40.622636323369136	42.0	42.0	42.0	37.0	42.0
18-19	40.60115900771163	42.0	42.0	42.0	37.0	42.0
20-21	40.55796880738261	42.0	42.0	42.0	37.0	42.0
22-23	40.54182900917573	42.0	42.0	42.0	37.0	42.0
24-25	40.523834230207285	42.0	42.0	42.0	37.0	42.0
26-27	40.41308525579886	42.0	42.0	42.0	37.0	42.0
28-29	40.35142385124951	42.0	42.0	42.0	37.0	42.0
30-31	40.35122494032116	42.0	42.0	42.0	37.0	42.0
32-33	40.318529267214515	42.0	42.0	42.0	37.0	42.0
34-35	40.251913121672715	42.0	42.0	42.0	37.0	42.0
36-37	40.293765374808345	42.0	42.0	42.0	37.0	42.0
38-39	40.29626278310178	42.0	42.0	42.0	37.0	42.0
40-41	40.305157713287954	42.0	42.0	42.0	37.0	42.0
42-43	40.28806387478103	42.0	42.0	42.0	37.0	42.0
44-45	40.27609394860943	42.0	42.0	42.0	37.0	42.0
46-47	40.2392328185129	42.0	42.0	42.0	37.0	42.0
48-49	40.22186720756487	42.0	42.0	42.0	37.0	42.0
50-51	40.22412163906333	42.0	42.0	42.0	37.0	42.0
52-53	40.199179531739105	42.0	42.0	42.0	37.0	42.0
54-55	40.1665468874968	42.0	42.0	42.0	37.0	42.0
56-57	40.146768282998636	42.0	42.0	42.0	37.0	42.0
58-59	40.11199100264861	42.0	42.0	42.0	37.0	42.0
60-61	40.0812693330426	42.0	42.0	42.0	37.0	42.0
62-63	40.01221222762497	42.0	42.0	42.0	37.0	42.0
64-65	39.995241144394306	42.0	42.0	42.0	37.0	42.0
66-67	39.97045697282014	42.0	42.0	42.0	37.0	42.0
68-69	39.915765753299084	42.0	42.0	42.0	37.0	42.0
70-71	39.89578494207112	42.0	42.0	42.0	37.0	42.0
72-73	39.8616435934687	42.0	42.0	42.0	37.0	42.0
74-75	39.859778751869015	42.0	42.0	42.0	37.0	42.0
76	39.825284085534264	42.0	42.0	42.0	37.0	42.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.11566172521538576
1101	2	-0.009767809060651444
1101	3	-0.060713225044025876
1101	4	0.047913056752690864
1101	5	0.07366144168776856
1101	6	0.15481321431388295
1101	7	0.02635918752949351
1101	8	0.050634469909169866
1101	9	0.016190774525142615
1101	10-11	0.03145837953633901
1101	12-13	0.061667051868816714
1101	14-15	-0.010329565683818487
1101	16-17	-0.05176042387495983
1101	18-19	-0.051955642552670156
1101	20-21	-0.032353986277477986
1101	22-23	-0.06224058551289602
1101	24-25	0.0027734514443977787
1101	26-27	0.012147861736664822
1101	28-29	-0.031036529288762438
1101	30-31	-0.11285458366690193
1101	32-33	-0.03948850953175054
1101	34-35	0.05541421914453082
1101	36-37	-0.0026180678044482875
1101	38-39	-0.03535882269414259
1101	40-41	0.01667340826346475
1101	42-43	-0.02768642083343309
1101	44-45	-0.06832900164393152
1101	46-47	-0.0113282786698079
1101	48-49	-0.04982008294125251
1101	50-51	-0.027646374799964235
1101	52-53	-0.09940067224134452
1101	54-55	-0.11258013834786595
1101	56-57	-0.15471157197501384
1101	58-59	-0.09673904414223955
1101	60-61	-0.17497185190412523
1101	62-63	-0.23924259915468582
1101	64-65	-0.15357361864952424
1101	66-67	-0.17171314000662363
1101	68-69	-0.12538562938906495
1101	70-71	-0.08187069177268569
1101	72-73	-0.14924519254091706
1101	74-75	-0.16684991187366194
1101	76	-0.2594073493434479
1102	1	-0.14880564119233597
1102	2	-0.011920147127241876
1102	3	-0.019665805257041313
1102	4	-0.06187153641750598
1102	5	-0.11032720605951596
1102	6	-0.19992471553511848
1102	7	-0.1946930382171317
1102	8	-0.09484024138801317
1102	9	-0.14774474329524878
1102	10-11	-0.16926408075390498
1102	12-13	-0.11532737974128082
1102	14-15	-0.13836838004110774
1102	16-17	-0.19459192184647378
1102	18-19	-0.12004422094561562
1102	20-21	-0.10788719981646011
1102	22-23	-0.10991713185486418
1102	24-25	-0.18021267226058768
1102	26-27	-0.1438163293503152
1102	28-29	-0.04133944499204034
1102	30-31	-0.051613608476216655
1102	32-33	-0.1517637466903352
1102	34-35	-0.15935440780451415
1102	36-37	-0.12230080991442094
1102	38-39	-0.1427783808316434
1102	40-41	-0.15370690197750747
1102	42-43	-0.2189928789455564
1102	44-45	-0.12847961405250174
1102	46-47	-0.08326423538425587
1102	48-49	-0.11581362205866697
1102	50-51	-0.16922767081083379
1102	52-53	-0.09425073022453034
1102	54-55	-0.134956368313496
1102	56-57	-0.15055815392289418
1102	58-59	-0.06363775900446456
1102	60-61	-0.10434503409174312
1102	62-63	-0.13849666333798893
1102	64-65	-0.10749151692005654
1102	66-67	-0.13723942127478495
1102	68-69	-0.13586427205637364
1102	70-71	-0.14668954080223529
1102	72-73	-0.03684138591606967
1102	74-75	-0.07769887772715123
1102	76	0.019639674899785575
1103	1	-0.10811226668065999
1103	2	-0.04117053792208836
1103	3	-0.10386826362217505
1103	4	0.024864559914050233
1103	5	0.0689246260201486
1103	6	0.10413449479686676
1103	7	0.10070661046568574
1103	8	0.05138868944197128
1103	9	0.020233631517690753
1103	10-11	0.009125283105731796
1103	12-13	-0.01883739820291197
1103	14-15	0.045727142651251995
