	A.R1506023208	B.R1506023209	B.R1506023210	B.R1506023211	B.R1506023212	B.R1506023213	B.R1506023214
ENST00000544448.1,1.732,0.175,0.588,0.000,0.071,0.602,0.266,MAN1B1
ENST00000361704.2,0.130,1.736,4.572,0.000,5.323,4.901,3.781,BRE
ENST00000417431.1,7.104,1.552,0.000,0.000,6.070,0.000,0.000,CAPZA2
ENST00000413196.2,1.965,0.349,0.369,0.665,0.545,0.301,0.361,DHX58
ENST00000591572.1,1.480,0.650,0.000,0.174,0.000,0.000,0.000,PPAP2C
ENST00000436146.1,5.363,0.456,0.000,1.640,4.222,2.450,0.000,RPL15
ENST00000591760.1,7.030,1.959,2.231,3.684,0.000,1.376,0.276,PTPRS
ENST00000554982.1,1.182,0.543,0.000,0.338,0.242,0.000,0.000,AP1G2
ENST00000342811.3,0.605,0.107,0.020,0.000,0.000,0.559,0.000,RPGR
ENST00000440021.1,1.806,0.960,0.000,0.241,0.000,0.742,0.000,FBXO34
ENST00000496857.1,0.344,2.318,2.012,3.241,3.444,2.139,2.889,EHBP1
ENST00000559036.1,4.162,0.689,2.012,2.768,0.000,0.709,0.584,MEF2A
ENST00000576768.1,1.006,0.291,0.379,0.540,0.010,0.000,0.000,TBC1D16
ENST00000551220.1,4.599,1.367,2.072,1.881,0.172,0.484,0.520,B4GALNT1
ENST00000585169.1,5.382,0.756,0.767,0.907,0.000,0.720,1.997,FLOT2
ENST00000492691.1,0.689,3.549,5.439,4.080,6.596,7.211,13.871,PRRC2A
ENST00000368802.3,2.486,1.619,0.199,0.000,0.010,0.269,0.000,REV3L
ENST00000374152.2,1.015,0.378,0.000,0.231,0.000,0.000,0.000,ARID1A
ENST00000580095.1,2.030,1.464,0.458,0.000,0.000,0.000,0.000,TOP3A
ENST00000558472.1,7.151,2.444,1.554,0.916,0.000,0.000,0.000,DUT
ENST00000369125.2,1.173,0.417,0.299,0.299,0.000,0.000,0.000,HACE1
ENST00000424201.2,1.033,0.252,0.538,0.463,0.000,0.000,0.212,CACNA2D2
ENST00000560451.1,0.447,0.184,0.379,0.000,0.000,0.000,0.000,MAN2A2
ENST00000488347.1,0.708,0.126,0.000,0.000,0.394,0.054,0.000,ZMAT1
ENST00000520077.1,1.592,0.291,0.000,0.530,0.000,0.000,0.223,BNIP3L
ENST00000425134.1,2.942,0.427,0.588,1.678,0.364,0.419,0.935,TXNIP
ENST00000248139.3,5.633,3.733,0.767,2.209,0.000,2.085,0.000,RAB40C
ENST00000586113.1,8.836,0.562,2.261,0.231,0.727,0.000,0.000,FOSB
ENST00000536011.1,1.406,0.330,0.000,1.080,0.000,0.000,0.000,RTN3
ENST00000585528.1,1.890,0.921,0.319,0.000,0.434,0.000,0.000,PIK3C3
ENST00000512512.1,1.043,3.375,2.709,2.324,13.322,7.759,14.136,IGFBP7
ENST00000425676.1,0.810,6.303,5.618,7.253,5.101,8.899,9.867,FANCG
ENST00000509053.1,0.847,0.126,0.129,0.000,0.343,0.236,0.042,SSBP2
ENST00000415220.2,0.568,0.145,0.000,0.270,0.404,0.000,0.053,PRKD1
ENST00000315843.3,0.037,0.611,1.036,0.714,0.232,0.000,0.404,GPR156
ENST00000579758.1,0.121,1.319,2.440,0.000,5.909,8.243,12.203,FASN
ENST00000379102.3,3.398,0.048,0.000,1.061,0.000,0.333,0.658,LYRM9
ENST00000592882.1,1.816,0.184,0.129,0.453,0.606,0.000,0.297,CTC-250I14.6
ENST00000437266.1,1.099,1.251,0.259,0.000,0.000,0.000,0.000,SLC4A7
ENST00000523036.1,0.298,7.234,3.058,1.321,2.909,6.588,7.817,DERL1
ENST00000321464.5,0.829,0.427,0.329,0.048,0.020,0.000,0.000,ZBTB38
ENST00000405914.1,1.415,0.504,0.279,0.704,0.152,0.118,0.085,KIF3C
ENST00000537134.1,3.873,1.202,1.663,0.530,1.000,0.301,1.094,C4A
ENST00000475208.1,3.724,0.912,0.209,0.347,0.000,0.247,0.000,TMEM54
ENST00000498711.1,1.769,0.407,1.942,1.861,4.121,21.129,48.345,CLTC
ENST00000580513.1,1.192,0.301,0.229,0.222,0.081,0.548,0.138,AXIN2
ENST00000429448.1,3.147,1.823,0.608,0.444,0.980,0.301,0.499,TTYH3
ENST00000291839.5,2.505,8.582,11.584,11.352,16.767,16.422,21.900,ST6GALNAC6
ENST00000370870.1,5.847,3.607,3.168,0.000,0.253,0.000,0.000,CRYZ
ENST00000492275.1,5.056,2.153,1.325,1.370,0.253,1.021,0.000,TTC3
ENST00000420430.1,0.493,13.324,13.686,14.554,5.020,0.795,7.679,YWHAH
ENST00000525698.1,1.480,0.543,0.000,0.000,0.242,0.000,0.212,PHLDB1
ENST00000479322.1,2.654,10.396,20.439,22.453,20.282,12.434,16.133,TGFB2
ENST00000392770.2,0.521,0.145,0.080,0.000,0.000,0.118,0.276,SCN3B
ENST00000586346.1,1.397,0.495,0.289,0.444,0.040,0.150,0.000,ACBD4
ENST00000439962.1,0.428,1.096,3.257,2.662,4.202,4.847,6.202,EDEM3
ENST00000367177.3,3.501,2.046,0.578,1.119,0.556,0.430,0.212,LRRN2
ENST00000527730.1,2.207,0.155,0.478,0.665,0.141,1.032,0.149,LRRC14
ENST00000379070.3,0.140,0.650,1.952,1.051,1.808,2.149,1.890,CDS2
ENST00000378105.3,0.698,0.019,0.558,0.260,0.141,0.000,0.000,PCDHGA1
ENST00000411976.2,2.691,0.475,0.000,0.540,0.828,0.000,0.000,PRRT3
ENST00000423481.2,0.047,2.841,1.255,0.829,2.040,1.096,0.000,NARS
ENST00000543024.1,0.037,0.689,0.000,0.444,1.707,0.398,7.169,SNX17
ENST00000530866.1,1.546,0.320,0.976,0.000,0.000,0.000,0.244,LTBP3
ENST00000412277.2,1.257,0.281,0.000,0.000,0.465,0.000,0.000,INPP5J
ENST00000467996.1,2.765,1.367,0.926,0.000,1.475,0.064,0.000,RNF13
ENST00000391815.3,3.166,1.115,1.126,0.000,0.000,1.483,0.669,JOSD2
ENST00000449797.1,2.411,0.359,0.916,0.000,0.000,0.000,0.000,SPIRE1
ENST00000597240.1,3.557,1.105,0.349,1.427,0.000,0.000,1.986,ZNF544
ENST00000571750.1,1.369,1.561,0.169,0.000,0.000,0.000,0.234,RFWD3
ENST00000541605.1,0.382,0.078,0.000,0.000,0.000,0.183,0.106,PLB1
ENST00000545065.1,0.903,0.349,0.000,0.000,0.182,0.000,0.085,KNTC1
ENST00000417247.2,5.167,0.010,2.062,0.000,1.515,2.268,0.000,ARHGAP22
ENST00000564558.1,1.229,0.010,0.000,0.222,0.889,0.000,0.542,ZFP90
ENST00000361510.2,0.335,2.589,2.231,1.398,3.151,3.074,3.409,OPA1
ENST00000472010.1,1.620,0.446,0.000,1.177,0.111,0.140,0.000,TMEM8B
ENST00000466499.2,0.978,24.932,21.077,16.406,17.777,20.011,22.590,EIF2S1
ENST00000519053.1,1.527,0.010,0.000,0.502,0.000,0.333,0.000,INTS8
ENST00000369092.4,0.019,3.384,0.000,3.723,0.000,0.000,0.000,TIAL1
ENST00000420282.1,3.613,1.794,0.797,0.955,0.313,0.000,0.297,PPP1CB
ENST00000349124.1,2.151,0.805,0.000,0.733,0.000,0.000,1.073,PTP4A3
ENST00000573634.1,0.400,0.107,0.159,0.000,0.000,0.000,0.000,WSCD1
ENST00000598871.1,1.303,0.436,14.792,13.753,8.060,24.547,5.289,CALM3
ENST00000259199.4,0.335,6.536,3.865,4.080,2.434,3.557,4.418,CBWD2
ENST00000422375.1,2.374,1.105,0.000,0.000,0.000,0.000,0.000,FCHSD2
ENST00000452660.1,1.127,0.223,0.000,0.000,0.000,0.000,0.000,LRCH3
ENST00000379632.2,4.404,1.872,0.000,4.128,0.000,0.000,0.000,BRE
ENST00000354393.2,0.084,0.475,0.747,1.090,1.091,0.570,2.209,MYPN
ENST00000474486.1,0.196,0.902,1.833,1.206,1.959,1.795,5.374,TOMM40L
ENST00000588041.1,0.847,0.126,0.259,0.212,0.121,0.473,0.170,RP1-193H18.2
ENST00000525322.1,1.434,0.301,0.618,0.521,0.444,0.129,0.074,NAV2
ENST00000495174.1,2.588,0.204,0.000,0.000,0.000,1.075,0.000,SH3BP1
ENST00000382396.4,0.037,0.834,0.657,0.926,0.253,1.096,1.115,PLA2G4F
ENST00000554510.1,0.047,0.921,1.036,0.521,1.010,1.150,1.243,TTLL5
ENST00000537206.1,1.173,0.349,0.169,0.000,0.737,0.000,0.191,ARHGAP4
ENST00000417294.1,0.084,1.154,1.155,0.984,1.000,1.451,1.774,MAP4K4
ENST00000454824.1,1.471,33.659,15.818,10.966,8.363,6.223,20.360,NCL
ENST00000504123.1,2.700,0.756,1.494,0.000,0.626,0.000,0.000,CNOT6L
ENST00000546543.1,1.918,0.427,0.000,0.000,0.000,0.000,0.839,PMEL
ENST00000546258.1,1.639,0.068,0.369,0.714,0.626,0.043,0.000,TMEM130
ENST00000438257.4,1.192,6.681,7.461,7.658,7.222,5.040,8.305,DIO2
ENST00000445265.2,0.233,5.343,2.002,4.813,7.434,0.871,8.390,TCOF1
ENST00000350259.4,5.205,2.318,1.155,2.421,1.434,0.140,0.648,ALDH6A1
ENST00000435716.1,4.162,0.999,0.867,0.000,0.000,0.000,0.000,TRIP12
ENST00000556394.1,0.419,4.664,4.861,5.903,4.586,3.944,5.820,POMT2
ENST00000466465.1,0.391,0.504,3.506,2.874,8.343,15.949,23.557,EPAS1
ENST00000409657.1,0.149,0.262,1.893,0.665,3.172,2.934,2.506,CCDC14
ENST00000367123.3,2.430,1.319,0.000,0.000,1.303,0.000,0.000,SRGAP2C
ENST00000356864.3,3.361,0.291,0.657,0.203,1.232,0.731,0.701,TNFRSF10C
ENST00000460469.1,0.493,0.204,0.179,0.000,0.000,0.000,0.000,NMD3
ENST00000448451.1,0.438,1.978,3.337,3.434,4.990,14.337,17.588,DIAPH1
ENST00000607647.1,0.140,0.155,0.418,0.473,1.263,4.825,4.949,NUP205
ENST00000524618.1,2.104,0.776,0.000,0.000,0.000,0.000,0.000,MTFR1L
ENST00000536073.1,0.531,6.429,1.853,4.398,6.484,5.191,13.616,ARL6IP4
ENST00000367122.2,1.881,1.261,0.618,0.000,0.000,0.999,0.000,SYNJ2
ENST00000378053.3,0.885,0.184,0.379,0.289,0.283,0.064,0.000,FLRT3
ENST00000422491.2,0.670,0.262,0.000,0.000,0.000,0.000,0.807,USP54
ENST00000381461.2,0.009,1.115,0.269,0.135,0.121,0.258,0.658,KIAA2026
ENST00000411426.1,0.475,3.278,4.094,3.270,4.747,3.944,3.547,FAM111B
ENST00000439065.2,0.866,3.026,7.092,6.317,9.464,16.024,19.011,MYO1B
ENST00000604104.1,0.912,0.310,0.219,0.125,0.000,0.247,0.191,RP11-435O5.5
ENST00000474049.1,2.588,1.125,0.000,0.000,0.000,0.000,0.000,CYTH2
ENST00000520313.1,1.397,1.358,0.000,0.000,0.071,0.000,0.478,FAM114A2
ENST00000392981.2,1.033,1.028,0.070,0.357,0.081,0.000,0.000,XRN1
ENST00000378566.1,0.009,0.533,0.359,0.029,1.151,0.623,0.680,FAM214B
ENST00000359478.2,0.112,0.281,0.618,1.505,2.081,1.709,1.391,MFAP5
ENST00000296869.4,0.568,0.029,0.139,0.010,0.000,0.000,0.000,ACSL6
ENST00000463577.1,0.009,0.010,0.926,0.000,2.121,1.322,3.112,TOR2A
ENST00000375960.2,0.074,0.979,0.667,0.106,0.434,1.021,0.627,ZCCHC6
ENST00000415987.2,2.039,0.194,0.408,0.463,0.828,0.150,0.202,CRYM
ENST00000282924.5,0.456,0.223,0.169,0.000,0.000,0.000,0.000,JAKMIP1
ENST00000262189.6,0.084,0.747,0.807,0.665,0.778,0.000,0.605,KMT2C
ENST00000533926.1,4.348,2.046,0.000,0.000,0.000,0.000,0.074,NUCB2
ENST00000470019.1,0.037,0.999,0.777,1.736,0.202,0.484,1.572,PTK7
ENST00000406272.2,1.862,0.446,0.000,0.000,0.283,0.000,0.000,NR2C2
ENST00000433714.1,1.192,0.718,0.000,0.000,0.000,0.000,0.000,BBS9
ENST00000360985.3,0.019,1.561,1.753,1.929,1.273,1.806,1.806,RYR1
ENST00000578000.1,2.039,0.378,0.000,0.000,0.283,0.742,0.924,CRHR1-IT1
ENST00000396596.1,0.270,1.765,0.807,3.540,0.465,2.053,1.455,SGK3
ENST00000561086.1,0.168,0.078,0.209,0.203,0.606,8.759,27.221,IQGAP1
ENST00000398204.4,2.384,0.446,0.000,0.839,0.515,1.053,0.000,ADAM22
ENST00000274498.4,0.400,0.107,0.000,0.174,0.000,0.086,0.074,ARHGAP26
ENST00000495476.1,2.300,0.698,0.000,0.000,0.000,0.000,0.000,OPA1
ENST00000221891.4,4.804,1.697,1.036,1.669,0.000,2.386,0.786,APLP1
ENST00000417488.1,0.680,0.107,0.159,0.000,0.000,0.000,0.117,RP11-195B21.3
ENST00000557235.1,2.458,2.085,0.000,0.993,0.000,0.000,0.000,STAT2
ENST00000470694.1,1.378,0.436,0.000,0.598,0.000,0.000,0.340,F11R
ENST00000529480.1,0.130,0.543,0.857,0.723,1.040,1.913,3.993,ZDHHC5
ENST00000397396.1,0.577,0.388,0.000,0.000,0.000,0.000,0.000,TSPAN4
ENST00000358729.4,0.885,0.165,0.000,0.000,0.000,0.000,0.000,AMPD2
ENST00000330317.2,1.089,8.892,6.066,7.021,6.434,6.943,5.884,WDR4
ENST00000439918.2,26.051,17.484,7.510,5.150,7.050,0.000,0.319,P4HB
ENST00000464948.1,1.760,0.116,0.179,0.154,0.111,0.720,0.000,SAMD11
ENST00000542650.1,0.093,6.837,2.052,0.000,0.000,0.000,1.115,AAGAB
ENST00000545493.1,5.223,2.192,0.000,0.000,0.000,0.000,0.000,SCARB1
ENST00000263979.3,2.309,0.970,1.175,0.897,0.242,0.258,0.000,MAN1C1
ENST00000409807.1,0.270,2.599,1.883,3.366,1.535,1.333,2.294,FHL2
ENST00000594908.1,4.423,0.601,1.195,2.459,1.475,0.312,0.361,PLD3
ENST00000434835.2,1.276,0.427,0.598,0.154,0.646,0.000,0.000,MSL2
ENST00000550557.1,21.480,1.290,6.484,0.550,4.555,0.398,3.452,NR4A1
ENST00000602986.1,0.447,0.010,0.000,0.000,0.283,0.011,0.011,AASDH
ENST00000261673.6,1.769,0.873,0.000,0.714,0.000,0.000,0.000,FBRSL1
ENST00000489540.1,0.298,0.815,1.066,1.804,2.202,3.686,6.680,MDC1
ENST00000422281.2,0.773,0.145,0.129,0.212,0.091,0.000,0.000,CACNA1D
ENST00000456626.1,4.041,2.958,1.086,1.447,0.000,0.290,0.000,JOSD1
ENST00000288050.4,0.810,0.242,0.149,0.270,0.000,0.000,0.159,PDPR
ENST00000570059.1,3.128,0.892,0.000,0.000,0.758,0.881,0.000,PIGB
ENST00000494857.1,1.201,0.504,0.000,0.685,0.000,0.000,0.000,SLC7A2
ENST00000353468.4,0.782,7.321,2.918,2.971,5.474,11.757,11.555,SIGMAR1
ENST00000406087.1,13.184,7.031,0.000,3.183,0.000,1.827,0.754,LBH
ENST00000420643.1,0.559,10.512,6.853,8.690,5.353,2.440,5.066,MAPKAP1
ENST00000405379.2,0.149,0.708,0.000,0.820,2.060,0.849,2.825,GRHL1
ENST00000536901.1,1.061,0.679,0.080,0.231,0.000,0.000,0.000,TMEM129
ENST00000557135.1,0.019,5.547,0.000,1.080,0.000,1.569,1.073,WARS
ENST00000303115.3,1.452,7.254,10.738,14.863,14.858,7.502,11.693,IL7R
ENST00000480897.1,2.188,0.155,0.986,0.685,0.848,0.365,0.350,SNAP47
ENST00000528392.1,3.240,1.532,0.687,0.280,0.465,0.000,1.285,ZNF252P
ENST00000443841.2,11.266,0.524,2.709,0.936,0.000,0.000,1.699,FOSB
ENST00000374155.3,0.335,0.097,0.030,0.000,0.111,0.140,0.000,RUFY4
ENST00000348259.5,0.996,9.242,6.385,3.434,7.898,8.351,7.806,MRPL55
ENST00000345615.4,2.458,0.650,0.299,0.907,0.000,0.301,0.000,SYNRG
ENST00000579157.1,1.043,0.601,0.090,0.000,0.000,0.000,0.000,KLHL28
ENST00000445745.1,1.164,0.601,0.209,0.222,0.141,0.548,0.000,AC016683.6
ENST00000483421.3,0.335,0.601,0.279,1.987,2.273,5.051,5.523,ZNF638
ENST00000356713.4,0.354,0.184,0.149,0.000,0.091,0.000,0.000,CNNM1
ENST00000330439.6,5.549,0.747,1.235,0.801,0.646,2.257,1.880,MT1E
ENST00000563520.1,1.452,1.455,0.000,0.000,0.000,0.000,0.000,PRMT7
ENST00000436244.1,0.205,1.707,6.056,4.263,20.251,4.503,37.364,ADIPOR1
ENST00000568004.1,0.549,0.048,0.000,0.125,0.000,0.183,0.138,PHLPP2
ENST00000570016.1,1.518,0.465,0.060,0.347,0.000,0.516,0.966,CDIPT
ENST00000396023.2,2.039,0.194,0.408,0.463,0.828,0.150,0.202,CRYM
ENST00000523739.1,1.471,0.368,0.000,0.000,0.000,0.183,0.000,FZD6
ENST00000490115.1,0.838,0.194,0.000,0.029,0.162,0.000,0.266,PFKFB4
ENST00000503081.1,6.322,4.218,1.454,2.093,0.000,0.000,0.000,GNB2L1
ENST00000538786.1,0.140,4.257,1.235,1.437,1.818,0.613,1.614,ATL3
ENST00000391791.4,0.466,1.241,2.988,0.839,1.283,5.513,10.079,PPP2R1A
ENST00000344181.3,0.372,0.184,0.070,0.000,0.000,0.150,0.000,KIAA0430
ENST00000526601.1,0.763,0.184,0.289,0.010,0.313,0.000,0.000,ZNF195
ENST00000457016.1,1.536,0.611,0.000,0.868,0.000,0.849,0.000,APC
ENST00000395386.2,2.365,1.784,0.468,0.829,0.000,0.215,0.000,PHF20L1
ENST00000539599.1,1.536,0.572,0.926,0.000,0.192,0.118,0.000,UBE3B
ENST00000233156.3,2.318,0.087,1.155,0.000,1.273,0.000,0.244,TFPI
ENST00000405925.1,1.685,0.902,0.697,0.000,0.000,0.000,0.000,LIG4
ENST00000457606.1,0.009,1.649,1.215,1.620,4.040,0.978,0.786,SRI
ENST00000454808.2,0.270,10.066,5.140,9.635,4.878,3.224,2.910,PGAM5
ENST00000531653.1,23.454,16.359,0.996,5.787,1.606,6.728,2.135,PSMC3
ENST00000299824.1,0.596,0.184,0.169,0.000,0.000,0.000,0.000,PPP1R16B
ENST00000262879.6,5.177,3.113,0.000,0.000,0.000,0.000,0.000,RALGAPB
ENST00000414351.1,1.555,0.330,0.000,0.000,0.626,0.000,0.000,ZNF205
ENST00000412274.2,14.785,6.274,6.215,2.729,0.000,1.612,0.276,DDR1
ENST00000356143.1,0.019,0.058,0.448,1.254,3.646,0.000,0.000,RNF14
ENST00000428043.1,1.359,0.398,0.727,0.000,0.828,0.000,0.000,ACE
ENST00000361059.2,0.447,2.133,2.152,6.568,3.050,13.907,5.194,MATR3
ENST00000346736.2,0.354,0.068,0.000,0.280,0.000,0.000,0.000,C19orf57
ENST00000409298.1,0.819,0.194,0.179,0.000,0.000,0.000,0.000,GTDC1
ENST00000334348.3,31.591,12.005,3.685,6.018,3.232,2.418,0.000,UPK3B
ENST00000523853.1,5.167,0.640,0.000,0.000,0.000,3.299,0.372,MCM4
ENST00000489376.1,0.475,0.155,0.000,0.000,0.000,0.236,0.000,ZNF776
ENST00000323938.6,1.946,1.018,0.478,0.569,0.333,0.000,0.000,LGALS8
ENST00000402458.1,1.425,12.432,12.560,17.235,6.232,18.625,12.543,NHP2L1
ENST00000370371.4,0.540,3.287,1.912,6.800,4.474,3.407,3.792,DIDO1
ENST00000415412.1,1.713,1.290,0.000,0.000,0.000,0.000,0.000,RP5-837J1.2
ENST00000497947.2,0.782,6.507,8.576,8.179,8.181,7.147,4.185,LMO7
ENST00000429602.2,2.477,1.581,0.199,0.675,0.444,0.451,0.478,SIMC1
ENST00000560748.1,0.717,0.456,0.010,0.174,0.000,0.075,0.000,ANKRD9
ENST00000424352.2,1.425,0.708,0.398,0.299,0.444,0.000,0.329,MEIS2
